"Set","MAE","MAPE","RMSE","NSE"
"Train",0.346814340737815,0.0328321941219292,0.506810716325037,0.991029763669351
"Validation",0.398301562758925,0.0450417339548813,0.57257472843657,0.990888401406676
"Test",0.399403609567066,0.0354659147015364,0.58253180921211,0.986185746427357
