"","Type","Pre","Ori","MAE","RMSE","NSE","MAPE"
"1","Train",5.02846072338473,4.9164,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"2","Train",4.99138895424169,4.9298,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"3","Train",4.96406829370287,4.8769,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"4","Train",4.95791251246847,4.928,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"5","Train",4.97644600487008,4.8066,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"6","Train",4.87871899949151,4.7368,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"7","Train",4.80582230176634,4.6346,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"8","Train",4.7616283147446,4.7356,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"9","Train",4.75684938330545,4.7799,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"10","Train",4.78914034887635,4.7797,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"11","Train",4.75356108574341,4.7243,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"12","Train",4.69870842165445,4.6019,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"13","Train",4.69811765969366,4.6089,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"14","Train",4.73703306378687,4.6548,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"15","Train",4.7849993987519,4.7209,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"16","Train",4.83858650095021,4.7767,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"17","Train",4.86931839578304,4.8862,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"18","Train",4.97144116938536,4.8517,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"19","Train",4.96273450296604,4.8723,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"20","Train",4.98934208885641,4.9731,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"21","Train",4.96396823859613,4.9436,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"22","Train",4.97435795255937,4.9371,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"23","Train",5.01033618803062,4.9717,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"24","Train",5.04906895515145,5.2964,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"25","Train",5.35969034604653,5.2501,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"26","Train",5.3524936588784,5.3043,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"27","Train",5.56021170072826,5.2906,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"28","Train",5.50103482549813,5.3106,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"29","Train",5.48059935000198,5.3226,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"30","Train",5.51720818226342,5.7696,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
"31","Train",5.563792779086,5.5158,0.0501394899068611,0.0839557134652203,0.997725686516304,0.818227116327337
"32","Train",5.52110648315293,5.4573,0.100311039632085,0.122140122089509,0.993996932933179,1.72541296524699
"33","Train",5.49962323723548,5.5699,0.0847888345439568,0.111479939708273,0.995107009258944,1.27707896592096
