"","Type","Pre","Ori","MAE","RMSE","NSE","MAPE"
"1","Train",5.18626884937623,5.1388,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"2","Train",5.14880355288587,5.1608,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"3","Train",5.14807984341727,5.1195,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"4","Train",5.13523052744037,5.1596,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"5","Train",5.15431808460142,5.0473,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"6","Train",5.10063273366803,4.9074,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"7","Train",4.9083509699136,4.9287,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"8","Train",4.90029919794342,4.9946,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"9","Train",4.90263657787421,5.0025,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"10","Train",4.9518156610576,4.9719,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"11","Train",4.90961555698505,4.8593,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"12","Train",4.82898087866327,4.8653,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"13","Train",4.79665033446144,4.8858,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"14","Train",4.89455567827836,4.9608,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"15","Train",4.96960098929248,4.9986,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"16","Train",5.06001179502418,5.0589,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"17","Train",5.1139501081836,5.2072,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"18","Train",5.18182330152281,5.1989,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"19","Train",5.23234606448428,5.1669,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"20","Train",5.22303956402365,5.1816,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"21","Train",5.14826200310705,5.177,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
"22","Train",5.20197267266891,5.2292,0.0634319726754983,0.105558017699547,0.996914242170948,0.91674090801258
"23","Train",5.27614482708887,5.2583,0.125959143686459,0.15886803882319,0.992042941562084,2.06309755467377
"24","Train",5.2815370227766,5.7515,0.110767851332565,0.182100994898854,0.991058852436267,1.49743943645566
