"","MAE","RMSE","NSE","MAPE","MAE","RMSE","NSE","MAPE","MAE","RMSE","NSE","MAPE"
"1",0.0525839103781321,0.0861833081352341,0.997746634637011,0.820476163889575,0.129413337831095,0.166944780516654,0.990622559852251,2.04657034507594,0.0964792102502176,0.133504036688138,0.994362890934397,1.36470665187987
"2",0.0566120430241909,0.0921277576913078,0.997425064851812,0.890113695271779,0.09682665810416,0.128947728037148,0.994405439185736,1.69094411068831,0.094169457806583,0.138598288461704,0.993924481086623,1.35736389637561
"3",0.0532382234946333,0.0852184878734003,0.997796804980824,0.814824216127896,0.0969325826028986,0.125468924434554,0.994703231891011,1.59791408273001,0.0900367645658465,0.132657575781494,0.994434146692809,1.24193082190582
"4",0.0635147412268598,0.104887672429981,0.996662400745932,1.00309609537114,0.205560138559783,0.256494499929404,0.977864225412983,3.19570871024581,0.130427085191954,0.17529839625451,0.990280956442475,1.88546575711469
"5",0.0558466472383001,0.0920313322866305,0.997430452136473,0.865591368463385,0.0705345393041107,0.0953251331717199,0.996942591622486,1.23664768071247,0.0861690007156861,0.128089396248598,0.994810876584016,1.21493562514395
"6",0.0526508411118646,0.0852861476894792,0.997793305107728,0.826496630072514,0.104462332030552,0.133278848909205,0.994023305238994,1.75368118206882,0.0732710362421195,0.109074889563085,0.996237147397523,1.08937555268925
"7",0.0653113954861273,0.103477495232172,0.99675154310054,1.02207796364368,0.109332279105925,0.135225298140229,0.993847459160264,1.85333080540239,0.0960761177204343,0.139135845925457,0.993877261541609,1.39444089365564
"8",0.0593332691646677,0.0950977184258052,0.997256370343475,0.930022536402942,0.127199567066417,0.165534785901643,0.990780292292931,2.0403895648422,0.0899163754500088,0.124978011646813,0.995059909960819,1.30380842128424
"9",0.065716052434087,0.109111603317201,0.99638817110142,1.03466444716922,0.137200248368459,0.171157102802737,0.990143369802348,2.21875055669849,0.115995801031777,0.166646362148578,0.991216667617808,1.65816569546265
"10",0.0752753434194128,0.110346731063575,0.996305937511424,1.16202217529776,0.101235681361649,0.132743071686713,0.994071260944109,1.79510966363131,0.0944974559635238,0.147425106567623,0.993125983924124,1.36001070211736
