"","Type","Pre","Ori","MAE","RMSE","NSE","MAPE"
"1","Train",5.08495583205262,5.0556,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"2","Train",5.01062311124607,5.0595,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"3","Train",5.01931777676014,5.0232,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"4","Train",5.02870715463258,5.0717,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"5","Train",5.02565352343774,4.9294,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"6","Train",4.99791658196503,4.8561,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"7","Train",4.86229401452119,4.8303,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"8","Train",4.75818601212703,4.937,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"9","Train",4.85309157833884,4.942,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"10","Train",4.87534139330947,4.8941,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"11","Train",4.82792977741645,4.792,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"12","Train",4.75579631172713,4.7917,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"13","Train",4.71632633919891,4.7816,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"14","Train",4.76360957344933,4.8561,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"15","Train",4.89492097021676,4.9421,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"16","Train",4.96511594817986,4.9923,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"17","Train",5.03896617423607,5.1658,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"18","Train",5.12092796789747,5.1356,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"19","Train",5.14457646707955,5.0764,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"20","Train",5.14565682487894,5.0845,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"21","Train",5.10939914623837,5.0844,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"22","Train",5.12069097488473,5.169,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"23","Train",5.16998076666018,5.1768,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"24","Train",5.20672269184738,5.6372,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"25","Train",5.41847382155443,5.5377,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"26","Train",5.68478764987807,5.674,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"27","Train",5.73016355335063,5.723,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"28","Train",5.68585149074098,5.6953,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"29","Train",5.75880980222757,5.7833,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"30","Train",5.7322409334972,5.8501,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"31","Train",5.76069035554782,5.7234,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"32","Train",5.73657387649897,5.5737,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"33","Train",5.57778968411412,5.6251,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"34","Train",5.59696534684762,5.7551,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"35","Train",5.80362813396582,5.8487,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"36","Train",5.90375442851489,5.7785,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"37","Train",5.91430374578974,5.7812,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"38","Train",5.91940297454128,5.8877,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"39","Train",5.93749527639603,5.9626,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"40","Train",6.02939363401475,5.9716,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"41","Train",6.11369570239494,5.9482,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"42","Train",6.15645467246277,5.9689,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"43","Train",6.18355158264709,5.9982,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"44","Train",6.18161509697378,6.056,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"45","Train",6.1605582552785,6.2217,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"46","Train",6.22920251813761,6.2742,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"47","Train",6.28146510822183,6.1647,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"48","Train",6.27881401478939,6.1879,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"49","Train",6.25987872353292,6.1557,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"50","Train",6.24955075823249,5.9326,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"51","Train",6.11019999289279,5.7302,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"52","Train",5.91081216552171,5.6004,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"53","Train",5.68026376108039,5.3721,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"54","Train",5.468812438796,5.2998,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"55","Train",5.34852709815167,5.2694,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"56","Train",5.33442663953483,5.303,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"57","Train",5.32767821970199,5.3436,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"58","Train",5.32785740343708,5.3393,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"59","Train",5.34825131536387,5.294,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"60","Train",5.35577002505229,5.3443,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"61","Train",5.35792298269606,5.2479,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"62","Train",5.35127992089739,5.2716,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"63","Train",5.29576274355789,5.2017,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"64","Train",5.22249010976506,5.2157,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"65","Train",5.30591315179122,5.2639,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"66","Train",5.36356852163432,5.3317,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"67","Train",5.38837145457331,5.3285,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"68","Train",5.46412313037697,5.4956,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"69","Train",5.47096039130751,5.3055,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"70","Train",5.36812419302188,5.4992,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"71","Train",5.3328505233846,5.3096,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"72","Train",5.30473419288621,5.4279,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"73","Train",5.31009744236472,5.2227,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"74","Train",5.23088747042259,5.3205,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"75","Train",5.1870355045964,5.0723,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"76","Train",5.09849646662562,5.1799,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"77","Train",5.07403062934467,5.0016,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"78","Train",5.00887206572318,5.1866,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"79","Train",5.02246475367173,4.9188,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"80","Train",4.97007303117508,4.9973,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"81","Train",4.87995562474454,4.7925,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"82","Train",4.7247419685892,4.8214,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"83","Train",4.67686812873151,4.6052,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"84","Train",4.56359322659409,4.6782,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"85","Train",4.49136766647109,4.4912,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"86","Train",4.44502514682986,4.5419,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"87","Train",4.40209212328751,4.2941,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"88","Train",4.30364567625486,4.3807,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"89","Train",4.26950366702269,4.3208,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"90","Train",4.21315288490445,4.2195,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"91","Train",4.20199819688216,4.1841,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"92","Train",4.25288462585013,4.3461,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"93","Train",4.37303332638363,4.5664,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"94","Train",4.61802654254162,4.7788,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"95","Train",4.80197266097716,4.8083,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"96","Train",4.87955621518979,4.9575,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"97","Train",4.94847438391211,5.0535,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"98","Train",5.04994993699151,5.1405,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"99","Train",5.12688607734568,5.1186,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
"100","Train",5.11887461238577,5.1466,0.101907441900942,0.155206731251361,0.994632746796507,1.35947097350377
"101","Train",5.17270681194828,5.341,0.152901265058733,0.210032774763878,0.988135228736782,2.28371871296626
"102","Train",5.30767420757864,5.508,0.170088294311912,0.284632461611119,0.983681739704944,2.12664045447734
