"Set","MAE","MAPE","RMSE","NSE"
"Train",1.30676100316826,0.118984030937793,2.1492216021856,0.850226267752096
"Validation",1.74437942719983,0.184746126072922,2.17491915643599,0.860794518933832
"Test",1.51252255996653,0.120027554563896,1.95487208563542,0.816157050242881
