"Set","MAE","MAPE","RMSE","NSE"
"Train",0.16963980320326,0.0163843084031081,0.288984948473204,0.997040828777709
"Validation",0.179319883953781,0.0148320968101102,0.297537882430356,0.996877846128729
"Test",0.187799394195357,0.0184536322328869,0.320782203640815,0.99432253505676
