"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.237149735775375,0.151436037065526,0.114031920273176,0.0925627388245052,0.0657327385227256,0.0323494874893872,0.0247439648236685,0.0393797055607802,0.0574076179944267,0.0395179770687226,0.0414849966851569,0.0330685087407938
"2",0.236994469709896,0.150794957629381,0.11760736483812,0.0926883717269045,0.0648351367478419,0.0331270500723822,0.0249688589397823,0.0391876347881777,0.0573662167292288,0.0377764598871116,0.0415453103145694,0.0331954015944916
"3",0.235916295770865,0.1474143460932,0.117284449467797,0.0912365230384544,0.0649177682394753,0.0323333961928753,0.024932514401884,0.0377895409192469,0.056682425985311,0.035994539478047,0.0424386002794431,0.0328347451166045
"4",0.23312713700702,0.142278535900899,0.115901989878906,0.0891558562419227,0.0636946949406308,0.0317827830345343,0.0250688691252236,0.0372276974979569,0.0572444400384687,0.0361425480927912,0.0425020480082994,0.0328804672045108
"5",0.23365596326489,0.141201742822196,0.114572205591923,0.0869534895601381,0.0633411132014268,0.0329661471714728,0.0251977015585746,0.0370492745115051,0.0573153500142344,0.0362436355437011,0.0435451044683839,0.0331081302224357
"6",0.232836431382423,0.140305318579875,0.113260386293148,0.0857147369245577,0.0617260906556715,0.0321346972980667,0.0262413327521201,0.0365729319321912,0.0578206241115295,0.0378795436512245,0.0433482175008639,0.033151980539199
"7",0.233231817676859,0.14173501125642,0.111282182148082,0.0873820467060634,0.0637188067301385,0.033240156214433,0.0258543768470439,0.0365910150423125,0.0576404053786834,0.0377286367641351,0.0436631400568096,0.0331105418936145
"8",0.234046385685328,0.142882754965894,0.113210518851722,0.0884307005327775,0.0639172093740845,0.0341837243577051,0.0256926831593554,0.0369720415745196,0.0582111234819588,0.0379402958324013,0.0430313891557027,0.0329196897138078
"9",0.233851651571121,0.143887697219738,0.113298747095628,0.0883535722966134,0.0639510810166211,0.0333923726244335,0.0250787668415305,0.0364035755879408,0.0575785029238919,0.0370925924880465,0.043225450230223,0.0331377631167004
"10",0.232961417494572,0.144060377468684,0.113792821032399,0.0869732444130011,0.0633648764942256,0.0329126164344705,0.0244319595543957,0.0355122015293382,0.0573950309678103,0.0372130963379403,0.0434390560234036,0.0332289259301706
"11",0.231961951975953,0.143607670594617,0.113661021673644,0.0864691065324822,0.0625334875356165,0.0320214877657706,0.0237991895830063,0.0351558313786803,0.0576209075319428,0.0377836433042743,0.0430878380661651,0.0331201938499448
"12",0.211047875184732,0.136636061263903,0.105165653946007,0.0842811542241005,0.0586822947243373,0.0295344966329135,0.0266656862841454,0.0358754586606286,0.0550077608823669,0.0462408831782609,0.0416587685197855,0.0374022251271183
"13",0.204987176685298,0.164366750210066,0.109132063751908,0.0915412015764897,0.0692792822236093,0.0249282541818023,0.0276399377866615,0.0464643829946875,0.0506539030340227,0.0365818631412888,0.0408872922706271,0.0428163885750505
"14",0.206057625127419,0.170802935482691,0.121170593042834,0.100854710860359,0.0618444288292284,0.0284805934412831,0.0296792615624362,0.0485706643772595,0.0530578066284423,0.0317860922491228,0.0369679966231509,0.0446121703901517
"15",0.237726460964731,0.164368981371,0.137014501856799,0.107334525668218,0.074010017957371,0.0326145402589583,0.0408243061851446,0.0477223482640629,0.0540639128390581,0.0291960140661948,0.0483510754356202,0.0394584761903475
"16",0.228281821717363,0.128947434342584,0.129759497090189,0.0874911430604764,0.0626998508525212,0.0254025740307848,0.0335501108200671,0.041200371598901,0.0598464267422256,0.0292093348995509,0.050927102062851,0.0350924453347655
"17",0.223954318592387,0.12810937834258,0.119832060623346,0.079753425527208,0.0656455931990855,0.024850977119727,0.0341991365335485,0.0437322545367653,0.0572691102937533,0.0276488014586147,0.0544306901276972,0.0333239643482975
"18",0.208802480311907,0.129395287228821,0.114964993983875,0.0755795715729492,0.060478554400759,0.0322584857488963,0.0304359099773578,0.0481260615021429,0.0584573747621416,0.0301191014589954,0.0504645044337124,0.0372067169300344
"19",0.211009065828299,0.148701214991685,0.11233399037731,0.083618266457155,0.06317039868327,0.0334235386557126,0.0278935432258096,0.0480322851860281,0.055886042659162,0.0300612044190087,0.0473492798560172,0.0410951726733658
"20",0.214154261320065,0.16551149909931,0.121274916326624,0.0924713034596595,0.0665621509521195,0.033134154133176,0.027972070071864,0.0546773865649252,0.0550536619936528,0.0270155979860221,0.0451638381624189,0.0435954767635928
"21",0.230092590948835,0.168402387664641,0.131680545094096,0.100820248635776,0.071974717821554,0.0361821689696531,0.0319176988696958,0.0564018829609111,0.0578674531790625,0.0272546601878568,0.0479172331992313,0.0408259770393915
