"Set","MAE","MAPE","RMSE","NSE"
"Train",0.179907650585936,0.0171923320294432,0.31467044198703,0.996491418669412
"Validation",0.175154695082837,0.0145314802313371,0.292541602484874,0.996981820678252
"Test",0.186887632043125,0.018272996730778,0.330353665309629,0.993978673351481
