"Set","MAE","MAPE","RMSE","NSE"
"Train",0.186266989456052,0.0174871108617747,0.31312703339328,0.996525752331369
"Validation",0.180617571506288,0.0150564950030702,0.297780834027394,0.996872745319723
"Test",0.189616451634426,0.01857781402556,0.331255204376704,0.993945763964072
