Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
,6.129,5.9989,5.7594,5.7695,5.726,5.5952,5.657,5.636,5.4353,5.5408,5.3929,4.9302,7.6447,32.229,0
,6.6383,6.1295,5.7951,5.788,5.7201,5.5852,5.6675,5.5887,5.5092,5.5452,5.4095,4.9828,7.6654,-0.75538,1.20811984
,6.0606,6.0438,5.9985,5.9913,5.7289,5.535,5.6967,5.65,5.5014,5.5759,5.4743,4.9974,5.1152,9.1486,2.59082704
,5.9225,5.9056,5.8587,5.8947,5.8788,5.6713,5.7914,5.7447,5.5934,5.6696,5.6167,4.9703,3.3469,-0.67163,4.02759768
,5.5906,5.5913,5.5449,5.5825,5.5843,5.4456,5.5837,5.5427,5.4713,5.5708,5.5545,5.2189,1.7224,120.4,3.53912344
,5.4245,5.4253,5.3897,5.4251,5.4347,5.3095,5.4471,5.4416,5.3656,5.4894,5.4229,5.2336,2.5877,-1.3013,1.81752952
,5.262,5.2684,5.2386,5.2687,5.2644,5.1288,5.2102,5.1933,5.1325,5.225,5.1574,5.0301,2.0485,73.642,1.68116208
,5.2309,5.2289,5.1624,5.2008,5.2059,5.0883,5.1986,5.1931,5.1247,5.2323,5.1965,4.996,5.7484,-0.62953,0.72160032
,5.1971,5.1835,5.1111,5.1705,5.1689,5.0554,5.1702,5.1618,5.1051,5.2362,5.2267,4.9861,7.557,94.923,5.07002928
,5.1902,5.1842,5.1257,5.1817,5.1914,5.1067,5.2052,5.205,5.1473,5.261,5.2549,5.0309,6.9421,-0.8393,3.55769328
,5.2286,5.2331,5.1235,5.1855,5.1883,5.0856,5.1774,5.153,5.1037,5.2267,5.2169,4.9753,7.1928,182.84,3.3181372
,5.1242,5.1236,5.086,5.1456,5.153,5.0664,5.1544,5.1395,5.089,5.1604,5.1577,4.9622,3.5573,-0.41977,1.19104176
,5.1363,5.1346,5.0579,5.1065,5.1146,5.0149,5.1164,5.0978,5.0556,5.1388,5.1377,4.9164,6.2154,78.707,4.32615544
,5.1062,5.1029,5.0393,5.0845,5.0972,5.0144,5.1166,5.1107,5.0595,5.1608,5.1172,4.9298,7.1965,-1.8884,4.86895032
,5.1108,5.0995,5.0145,5.0689,5.0676,4.984,5.0821,5.0769,5.0232,5.1195,5.1112,4.8769,6.2568,23.212,1.77627464
,5.1615,5.1235,5.041,5.1007,5.1048,5.0437,5.1289,5.1222,5.0717,5.1596,5.1607,4.928,5.9693,-0.96541,4.70660568
,5.0397,5.014,4.939,4.9867,4.993,4.9003,5.0162,5.0127,4.9294,5.0473,5.0466,4.8066,5.886,94.693,6.6301016
,4.9372,4.935,4.8803,4.9129,4.9112,4.8592,4.9295,4.9121,4.8561,4.9074,4.9034,4.7368,0.78557,-1.1334,0.109659792
,5.0244,4.9994,4.8818,4.9294,4.9329,4.8571,4.938,4.9366,4.8303,4.9287,4.8991,4.6346,8.4087,49.855,4.48397336
,5.0421,5.0454,4.9871,5.0443,5.0535,4.9943,5.0724,5.0424,4.937,4.9946,4.9796,4.7356,5.5855,-2.9798,1.822262
,4.9547,4.9813,4.9356,4.9823,4.9741,4.9236,5.0018,5.0012,4.942,5.0025,4.9711,4.7799,3.0579,76.906,0.100467464
,4.856,4.9129,4.8714,4.9196,4.9248,4.876,4.9502,4.949,4.8941,4.9719,4.9718,4.7797,0.31761,-3.9878,0.000396088
,4.8564,4.8735,4.779,4.8357,4.8447,4.778,4.8596,4.8457,4.792,4.8593,4.8742,4.7243,2.2166,71.923,0.074315368
,4.8434,4.8404,4.77,4.8257,4.8171,4.7493,4.8482,4.8764,4.7917,4.8653,4.8579,4.6019,4.8261,-0.04198,0.252446944
,5.0189,5.0064,4.8638,4.9288,4.9121,4.8197,4.9096,4.9047,4.7816,4.8858,4.8491,4.6089,9.8068,19.304,3.75995536
,5.1721,5.1645,5.0646,5.1329,5.1457,5.0716,5.0798,5.0421,4.8561,4.9608,4.8985,4.6548,7.4576,-0.62948,2.20554144
,5.2513,5.2536,5.1491,5.205,5.2186,5.1441,5.1404,5.0804,4.9421,4.9986,4.9684,4.7209,7.1459,31.769,3.3916964
,5.3481,5.3388,5.2224,5.2839,5.2871,5.2185,5.2835,5.2016,4.9923,5.0589,5.03,4.7767,7.2718,-1.6786,2.23311328
,5.8035,5.4792,5.3084,5.3475,5.3305,5.2596,5.309,5.2918,5.1658,5.2072,5.1532,4.8862,6.7516,40.831,0.474091616
,5.5451,5.541,5.3701,5.3461,5.327,5.2243,5.2915,5.2812,5.1356,5.1989,5.1504,4.8517,5.5614,-0.62953,1.28687448
,5.5898,5.5887,5.4476,5.4624,5.3624,5.2166,5.3004,5.2695,5.0764,5.1669,5.1429,4.8723,5.9812,107.97,1.39849928
,5.5212,5.5345,5.4318,5.4819,5.4904,5.3199,5.2663,5.2228,5.0845,5.1816,5.1727,4.9731,3.1979,-0.7136,0.161511312
,5.5442,5.5418,5.4192,5.4463,5.3947,5.1576,5.2738,5.2119,5.0844,5.177,5.1806,4.9436,6.3477,32.992,1.73501976
,5.4493,5.4347,5.3405,5.3875,5.3814,5.1352,5.3577,5.355,5.169,5.2292,5.1755,4.9371,8.3181,-1.5107,3.00702808
,5.4843,5.4656,5.3571,5.4509,5.4338,5.1782,5.3759,5.3592,5.1768,5.2583,5.207,4.9717,5.8908,13.974,0.259427352
,5.8182,5.7746,5.6779,5.8448,5.8042,5.4924,5.7916,5.7994,5.6372,5.7515,5.6896,5.2964,10.991,-1.0908,7.4989232
,6.0363,5.9701,5.7986,5.9408,5.8926,5.4829,5.8315,5.7945,5.5377,5.6618,5.6368,5.2501,9.0976,193.12,2.55795688
,6.3979,6.1734,5.9069,6.0025,5.9236,5.4725,5.8591,5.8601,5.674,5.7061,5.649,5.3043,6.0768,0,0.091732952
,6.4072,6.2653,5.9288,6.0161,5.9708,5.3946,5.9058,5.8837,5.723,5.7923,5.6557,5.2906,8.3621,31.642,0
,6.3067,6.2358,5.9219,5.9732,5.972,5.3956,5.8796,5.8465,5.6953,5.7426,5.7057,5.3106,5.3779,-0.96518,0.32682404
,6.1459,6.131,6.0145,6.0515,5.9936,5.4172,5.9506,5.9397,5.7833,5.8542,5.8486,5.3226,4.8607,12.844,0.73492328
,5.9579,5.9605,5.8865,5.9624,5.977,5.4169,5.9668,5.9751,5.8501,5.9461,5.9449,5.7696,4.0046,-3.3582,1.98157168
,5.8477,5.8665,5.7895,5.8598,5.8758,5.3112,5.8492,5.8421,5.7234,5.7993,5.7963,5.5158,1.4356,46.187,0.154813824
,5.7921,5.8102,5.6945,5.7951,5.787,5.1908,5.7541,5.7348,5.5737,5.6602,5.6545,5.4573,4.7781,0,0.108183464
