"measurements","predictions"
6.751923,6.75020578514719
6.708779,6.75946932492532
6.68347,6.75386699860932
6.679718,6.73430293285522
6.679718,6.7417184035943
6.679718,6.72400844620321
6.679718,6.70349518167849
6.679718,6.69974522529512
6.681464,6.72385693191455
6.681456,6.7313445554261
6.679714,6.74804998414015
6.683204,6.72004904099607
6.694545,6.6735482992403
6.682332,6.63067521765516
6.689309,6.60551281468765
6.686694,6.60175844691064
6.680591,6.60172988409863
6.692801,6.60170180065321
6.696294,6.60167364818316
6.710255,6.60164524779514
6.72509,6.60335054454917
6.719861,6.60331437133698
6.724216,6.60155656843326
6.695418,6.60499411127733
6.683202,6.61622870629679
6.679714,6.60407199080908
6.683202,6.61097332687756
6.680587,6.60834903367896
6.680585,6.60226026362794
6.68233,6.6143572702815
6.679712,6.61779826342992
6.680583,6.63163446074451
6.679712,6.64633838135271
6.679714,6.64111900019718
6.679718,6.64541635659759
6.679718,6.61679205631838
6.691936,6.60463370416247
6.679718,6.60114196332423
6.679718,6.6045791279841
6.679718,6.60195533565269
6.679718,6.60192578216499
6.679718,6.60363176062002
6.679718,6.60100525483133
6.679718,6.60184348312164
6.679718,6.60095160891508
6.679718,6.60092669051662
6.679718,6.60090396329408
6.679718,6.6008770954352
6.679718,6.61298269103903
6.680585,6.60082197883531
6.681464,6.60079546900369
6.684951,6.60076946022287
6.6832,6.60074579393071
6.682333,6.60072112719644
6.687568,6.60069460790531
6.680587,6.60066723124706
6.683205,6.60063929418113
6.685822,6.60061256010883
6.693678,6.60058550068605
6.687572,6.60055870808318
6.707634,6.6005318481044
6.694555,6.60136581100983
6.71288,6.60221193693737
6.699786,6.60564801663743
6.682329,6.60388347753888
6.686696,6.60299644258761
6.680583,6.60816819609775
6.679716,6.60121027272134
6.680587,6.60378277255385
6.679716,6.60635632295266
6.679718,6.61413093042906
6.679718,6.60804249198628
6.679718,6.62793675266366
6.681464,6.61492341284204
6.679718,6.63309391162845
6.679718,6.62006669455268
6.680591,6.60270774294657
6.679718,6.60701807701167
6.679718,6.60092285842516
6.679718,6.60003662771154
6.679718,6.60087622455311
6.679718,6.59998598081605
6.679718,6.59996259457594
6.679718,6.59993721943646
6.688056,6.59991166915012
6.679718,6.60162025491341
6.679718,6.59986131886946
6.679718,6.59983615935194
6.679718,6.60067796817715
6.679718,6.59978647537258
6.679718,6.59976169985505
6.680589,6.59973702327956
6.680585,6.59971251789029
6.682335,6.5996885396879
6.679712,6.59966348292018
6.67971,6.59963818724553
6.679712,6.60789185374434
6.680587,6.59958805128841
6.679718,6.59956322139294
6.679718,6.59953801972247
6.676908,6.59951269720201
6.673162,6.59948773674756
6.637554,6.59946247138996
6.64311,6.60030215347546
6.629122,6.60027316786078
6.614062,6.60198654730109
6.590696,6.59935898252741
6.578515,6.59933269235003
6.563551,6.59931074174151
6.588699,6.60015519903576
6.561648,6.59926805177234
6.498276,6.599243412854
6.485421,6.59642915860339
6.494131,6.5926858736851
6.502677,6.55730698883338
6.542116,6.56279920059778
6.538402,6.5488864013552
6.536801,6.53390942239649
6.502913,6.51068482003858
6.475364,6.49856635544778
6.547589,6.48368392207953
6.597261,6.50862889775354
6.632872,6.48174565901037
6.614133,6.41879795877275
6.613192,6.40600870255205
6.611318,6.41463306826591
6.622567,6.42309506310398
6.621626,6.46223236837029
6.603816,6.45852216776787
6.620689,6.45691190486042
6.633807,6.42324086374687
6.63568,6.39586287246094
6.610793,6.46755574941904
6.60851,6.51685222682963
6.58789,6.55218563371343
6.58883,6.53355753956375
6.583207,6.53260099947841
6.598128,6.53071768245123
6.544783,6.54186363804573
