"Set","MAE","MAPE","RMSE","NSE"
"Train",0.265581682342277,0.0242741335678856,0.406399040088181,0.99417274684325
"Validation",0.300058554827924,0.038094269511298,0.428008502792684,0.994885931235673
"Test",0.288629158008577,0.0264901570532912,0.434258919794442,0.992567428277771
