"","measurements","predictions"
"1",5.1377,5.13326045149223
"2",5.2638,5.20050165620116
"3",5.3263,5.25098544939047
"4",5.2339,5.21008275939455
"5",5.2009,5.16938777761923
"6",5.1874,5.16938777761923
"7",5.2022,5.17710014856217
"8",5.1652,5.13909703109999
"9",5.1463,5.17228735015297
"10",5.1269,5.16775584557497
"11",5.13,5.13451803813376
"12",5.1166,5.13399481021657
"13",5.1172,5.12940747469564
"14",5.1223,5.15853432787986
"15",5.1084,5.16527682336224
"16",5.1194,5.13809506889062
"17",5.1305,5.14279706106061
"18",5.1389,5.14394127452302
"19",5.1281,5.13114743212755
"20",5.1266,5.13133246571233
"21",5.1014,5.12161317558742
"22",5.086,5.11403834984102
"23",5.0849,5.12117251757048
"24",5.1002,5.12210346110917
"25",5.1112,5.10159510865416
"26",5.1177,5.12231330844636
"27",5.1225,5.12231330844636
"28",5.1285,5.12392663017631
"29",5.1503,5.10818893553374
"30",5.1177,5.11784169913279
"31",5.1144,5.11204897141507
"32",5.1241,5.09761335703903
"33",5.1407,5.12826261949825
"34",5.1195,5.04463620955586
"35",5.1501,5.04463620955586
"36",5.1536,5.04871144056584
"37",5.1607,5.10922148711031
"38",5.1529,5.14442685398828
"39",5.1482,5.12501094837428
"40",5.1418,5.12928747025511
"41",5.1358,5.14168022829051
"42",5.1249,5.14301952918566
"43",5.1157,5.14620788245866
"44",5.0972,5.11517935462855
"45",5.0707,5.08446442129011
"46",5.0684,5.06056706642624
"47",5.0668,5.09121632888546
"48",5.0489,5.0929902982711
"49",5.0466,5.09121632888546
"50",5.0301,5.10638844110242
"51",5.0245,5.0543771047583
"52",5.0247,5.05488621450602
"53",5.0035,5.0541398767288
"54",5.0078,5.06741074212318
"55",5.0132,4.96038325236512
"56",5.005,4.96451773690456
"57",4.9833,4.95340310102992
"58",4.9699,4.94965087662458
"59",4.9669,4.94982970677126
"60",4.9481,4.95224562504467
"61",4.9034,4.95169608599346
"62",4.8915,4.94496941997382
"63",4.8714,4.88764366238084
"64",4.8902,4.89023841080093
"65",4.9015,4.88735445381827
"66",4.9104,4.89094453318632
"67",4.8783,4.89475879197268
"68",4.8193,4.89475879197268
"69",4.8677,4.8585936034821
"70",4.8754,4.87324377125181
"71",4.8543,4.86775929023428
"72",4.8692,4.89535496376549
"73",4.8991,4.87485024780868
"74",4.9422,4.91355264248317
"75",4.9824,4.89838951455588
"76",5.0215,4.90569010555581
"77",4.9613,4.9156814913106
"78",4.9395,4.96840707868313
"79",4.8781,4.92800280285199
"80",4.9197,4.91373211436482
"81",4.9465,4.91947221981451
"82",4.9813,4.97052523192763
"83",4.9798,4.93693489807287
"84",4.9764,4.97733917390401
"85",4.9796,4.96353545456779
"86",4.9457,4.97875976122947
"87",4.9421,4.96124274940979
"88",4.9571,4.97212464939976
"89",4.9538,4.96915705295855
"90",4.9541,4.95230680377906
"91",4.9669,4.95641754412439
"92",4.9708,4.98899586192181
"93",4.9769,4.97157061820372
"94",4.964,4.96642604281187
"95",4.9678,4.96902079123196
"96",4.9713,4.973291537498
"97",4.9711,4.9651748735201
"98",4.9734,4.9657068718153
"99",4.9747,4.96540547028819
"100",4.9641,4.96343791085142
"101",4.959,4.9659094461561
"102",4.9687,4.96465870468765
"103",4.9833,4.96465870468765
"104",4.9984,4.96090648028231
"105",5,4.95449854263415
"106",4.9896,4.94832719128051
"107",4.9831,4.94476107001825
"108",4.9714,4.95449854263415
"109",4.9718,4.95449854263415
"110",4.982,4.95421318448143
"111",4.9756,4.95179726620802
"112",4.9536,4.96737581057652
"113",4.9315,4.96082219908878
"114",4.9153,4.930554982852
"115",4.9188,4.92702907698157
"116",4.9379,4.92202140505129
"117",4.903,4.92294357821197
"118",4.8683,4.91514029481407
"119",4.873,4.91454390910961
"120",4.872,4.90662917773753
"121",4.8742,4.88149241872313
"122",4.8891,4.89859016369174
"123",4.9132,4.90393175172126
"124",4.906,4.89369971535043
"125",4.9016,4.86488816795114
"126",4.871,4.87022483601251
"127",4.8779,4.87148306438901
"128",4.8653,4.86348683267497
"129",4.8913,4.8684356788991
"130",4.8154,4.82789043528488
"131",4.8618,4.85300644486838
"132",4.8642,4.8525841832541
"133",4.8579,4.84272649228601
"134",4.8232,4.82984195134724
"135",4.8486,4.86615730582224
"136",4.7926,4.83879821858555
"137",4.7808,4.80566586959208
"138",4.7996,4.81597833674658
"139",4.7872,4.82054535065993
"140",4.8173,4.82230862446263
"141",4.8191,4.80375734977312
"142",4.8281,4.79768974557396
"143",4.8248,4.82846649938177
"144",4.8154,4.82846649938177
"145",4.8491,4.84967797945894
"146",4.8977,4.83073973857883
"147",4.8876,4.86472302815062
"148",4.9149,4.90902263528678
"149",4.9166,4.92329332377395
"150",4.9679,4.95966921524836
"151",4.9927,4.92326679872827
"152",4.932,4.96280644363492
"153",4.9295,4.9383240403845
"154",4.9315,4.95800690774856
"155",4.9113,4.8998424025418
"156",4.9283,4.91264095099377
"157",4.8985,4.88143337910532
"158",4.9589,4.91828800487192
"159",4.919,4.90503553588018
"160",4.9141,4.91805997504374
"161",4.9508,4.91805997504374
"162",4.952,4.91554822434722
"163",4.9333,4.96562344626841
"164",4.915,4.9539051516929
"165",4.9224,4.9539051516929
"166",4.9428,4.97006189927487
"167",4.969,4.94553564413442
"168",4.965,4.94553564413442
"169",4.9684,4.95469320224357
"170",4.9496,4.95246082017333
"171",4.9653,4.97046234189997
"172",4.9955,4.99080491281948
"173",5.0034,4.99278594869074
"174",5.0567,5.00196147537923
"175",5.0608,5.01689443436175
"176",5.0092,4.99374149207018
"177",4.9951,4.9885483587318
"178",4.9754,4.98605757137784
"179",4.9813,4.99875493961524
"180",4.9825,4.9901469205573
"181",5.03,4.97725253968223
"182",5.0407,5.0299075362074
"183",5.0581,5.01974352374404
"184",5.0687,5.06732368007809
"185",5.073,5.06732368007809
"186",5.079,5.10441146955267
"187",5.0789,5.11431857411392
"188",5.0954,5.11653084848825
"189",5.1121,5.13770040188031
"190",5.1239,5.06805097971769
"191",5.1454,5.10835300577596
"192",5.1518,5.13757376617836
"193",5.1532,5.13456745172692
"194",5.1487,5.12327591091053
"195",5.1264,5.07610839016612
"196",5.1241,5.13798832697293
"197",5.1313,5.13837058710703
"198",5.1108,5.14264240293137
"199",5.1207,5.14264240293137
"200",5.1414,5.14264240293137
"201",5.1237,5.14264240293137
"202",5.1237,5.14770505015793
"203",5.1421,5.15321199189963
"204",5.1771,5.15799291747168
"205",5.1504,5.16066103759071
"206",5.1028,5.13923714323645
"207",5.0924,5.14347494710705
"208",5.0926,5.14903793370332
"209",5.1099,5.15671843180912
"210",5.119,5.15205194897447
"211",5.1386,5.14885546705845
"212",5.1607,5.15312963591103
"213",5.1575,5.15302781396149
"214",5.16,5.15252127115367
"215",5.1318,5.14654757417268
"216",5.1543,5.19804167212605
"217",5.1429,5.14790634102878
"218",5.1617,5.17439544954951
"219",5.2224,5.19738966939032
"220",5.3077,5.27460471909802
"221",5.3268,5.28154957500953
"222",5.2905,5.28154957500953
"223",5.3088,5.26905841761112
"224",5.1916,5.19465630621539
"225",5.1715,5.16990865250817
"226",5.1721,5.16576539759072
"227",5.1705,5.17740048053099
"228",5.176,5.17086077330107
"229",5.1727,5.16925600803747
"230",5.1684,5.16077612206309
"231",5.1638,5.21295516514764
"232",5.1687,5.18796921385262
"233",5.1778,5.20333277700412
"234",5.1699,5.19803332957136
"235",5.1715,5.22796299321071
"236",5.1714,5.1882475129206
"237",5.1687,5.19684569204224
"238",5.1599,5.19684569204224
"239",5.1661,5.18974125803333
"240",5.1734,5.17810382206481
"241",5.1806,5.18081023237075
"242",5.1699,5.18081023237075
"243",5.1646,5.1765871884046
"244",5.1868,5.18295790542414
"245",5.1818,5.18636637379395
"246",5.1642,5.19682173393646
"247",5.1834,5.18672339235232
"248",5.2272,5.20799925983876
"249",5.2609,5.23197298116479
"250",5.2428,5.1768280529323
"251",5.1936,5.21069005459361
"252",5.1618,5.20792310728826
"253",5.1755,5.1982247805059
"254",5.1796,5.19744999247808
"255",5.1913,5.19608352480227
"256",5.1927,5.19655755303796
"257",5.1868,5.22894377816587
"258",5.21,5.23846241915491
"259",5.2389,5.24830748933514
"260",5.2561,5.26026343976347
"261",5.2423,5.26444434313286
"262",5.2583,5.26164188649217
"263",5.2372,5.25232817287216
"264",5.2019,5.24954967433724
"265",5.207,5.25431519826987
"266",5.2238,5.26452199306497
"267",5.2322,5.27849021046673
"268",5.3128,5.32069605028748
"269",5.3768,5.3851664572812
"270",5.376,5.38011322216762
"271",5.4632,5.41388794787218
"272",5.5272,5.50528512664035
"273",5.6382,5.59281638695657
"274",5.6659,5.61526245817195
"275",5.6401,5.57241359990514
"276",5.642,5.58127071908964
"277",5.6896,5.62411957735645
"278",5.7175,5.59858569134767
"279",5.5782,5.56024716040464
"280",5.5505,5.53306091378819
"281",5.5568,5.55264538178925
"282",5.5877,5.50846492344699
"283",5.6681,5.65638087807568
"284",5.669,5.64124994385302
"285",5.5878,5.6776759976114
"286",5.6157,5.66139154476918
"287",5.6416,5.65782627915355
"288",5.6508,5.62005750191348
"289",5.6368,5.63922687434082
"290",5.6582,5.68367547094726
"291",5.6184,5.62537267185315
"292",5.6532,5.61038505844182
"293",5.6394,5.64185360255389
"294",5.6259,5.65451182495774
"295",5.6336,5.68516172915194
"296",5.637,5.67720763803466
"297",5.6542,5.70802246811773
"298",5.6768,5.64618103540949
"299",5.681,5.64578540579671
"300",5.6533,5.65779269502313
"301",5.649,5.65402795678575
"302",5.6672,5.72004772592348
"303",5.6601,5.67217654277776
"304",5.6534,5.65613509357983
"305",5.6933,5.65613509357983
"306",5.6766,5.65613509357983
"307",5.6478,5.65613509357983
"308",5.6741,5.65779269502313
"309",5.6853,5.65271143748225
"310",5.651,5.69077059979901
"311",5.637,5.68517563340976
"312",5.6568,5.65476327811255
"313",5.6557,5.65476327811255
"314",5.666,5.69261280700378
"315",5.6442,5.68987024562752
"316",5.6595,5.6520207167363
"317",5.6877,5.68898197746475
"318",5.6683,5.69054802471813
"319",5.6719,5.66269234156576
"320",5.6963,5.7022388316455
"321",5.6738,5.69677456527971
"322",5.6449,5.64080746758699
"323",5.6943,5.65966292465519
"324",5.6991,5.73736847379629
"325",5.7057,5.7181198470994
"326",5.7184,5.69567195763492
"327",5.7103,5.67815826144595
"328",5.6975,5.72017521727206
"329",5.7027,5.73648737167409
"330",5.7088,5.71990943203612
"331",5.7085,5.72676412418349
"332",5.7013,5.72637095455479
"333",5.7114,5.72146863411642
"334",5.6857,5.68300795961627
"335",5.7307,5.73967144671391
"336",5.7866,5.76401170566712
"337",5.8486,5.78088944249476
"338",5.8554,5.7862806580291
"339",5.7747,5.77723850525981
"340",5.75,5.74188040545752
"341",5.6617,5.69170368245428
"342",5.6044,5.70660155992478
"343",5.6636,5.6971680557759
"344",5.8662,5.83119098295085
"345",5.9247,5.9085228284242
"346",5.9572,5.94141987459309
"347",5.9544,5.92400158300391
"348",5.955,5.92400158300391
"349",5.9449,5.90778793492072
"350",5.9454,5.95692248032275
"351",5.9295,5.89435973750136
"352",5.8693,5.87189601857413
"353",5.865,5.80031304892847
"354",5.8426,5.7560865995796
"355",5.8284,5.78258030720099
"356",5.827,5.84400108263239
"357",5.8233,5.82463277236245
"358",5.8023,5.81010624553147
"359",5.7948,5.82971809422484
"360",5.7649,5.79680115427169
"361",5.7963,5.79680115427169
"362",5.7326,5.77945013789916
"363",5.6977,5.74439279788901
"364",5.6945,5.72271359997008
"365",5.7012,5.74040291763085
"366",5.6989,5.66921835844953
"367",5.6908,5.66654670878814
"368",5.6946,5.67250960323036
"369",5.7006,5.6815923992148
"370",5.6895,5.65832522809747
"371",5.6731,5.69323753600303
"372",5.6502,5.67433352098831
"373",5.6545,5.67433352098831
"374",5.6664,5.66712223810588
"375",5.6664,5.69613689462511
"376",5.6694,5.69645744124568
"377",5.6784,5.71493769726451
"378",5.6839,5.7161692936395
"379",5.6934,5.71183255562675
"380",5.6995,5.71183255562675
"381",5.6879,5.71183255562675
"382",5.6756,5.71183255562675
"383",5.6966,5.73272979947728
"384",5.7675,5.7492747967198
"385",5.8111,5.77708598624716
"386",5.8231,5.82770892897045
"387",5.8548,5.85154296598334
"388",5.8574,5.83933288850447
"389",5.8957,5.870950315131
"390",5.8685,5.86099304828578
"391",5.8718,5.8561752229526
"392",5.8975,5.87406647321918
"393",5.9392,5.86917057013057
"394",5.9582,5.91186017116748
"395",5.9462,5.908581868042
"396",5.8765,5.88096726332899
"397",5.885,5.88256379299374
"398",5.8604,5.85479378146068
"399",5.8681,5.87794961155965
"400",5.9333,5.89773408696159
"401",6.0208,5.99305975334187
"402",6.0381,6.01642650033632
"403",6.013,5.99450312225898
"404",5.9888,5.98342485136632
"405",5.9512,5.98855188600216
"406",6.0085,6.03816997870869
"407",6.018,6.03816997870869
"408",6.0183,6.00573530259009
"409",6.0117,6.00573530259009
"410",6.0154,6.00521014946797
"411",6.0107,5.99440718288005
"412",6.017,5.99861225826687
"413",6.02,6.04589432870452
"414",6.0179,6.06105692185266
