"Set","MAE","MAPE","RMSE","NSE"
"Train",0.220710412603456,0.0205469462375805,0.34615739237627,0.995772284442217
"Validation",0.294322549251762,0.0326281580533555,0.428357082593193,0.994877597817165
"Test",0.274474303097726,0.0248101557775071,0.416183426045033,0.993173294386401
