Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
1/1/2008 12:00,5.4951,5.5633,5.2326,5.4412,5.4878,5.2766,5.5092,5.5406,5.294,5.4828,5.4785,5.3189,7.0957,52.456,5.951608
1/1/2008 12:00,5.4978,5.5709,5.1858,5.4362,5.4558,5.2104,5.4595,5.4825,5.2479,5.4388,5.4583,5.2774,7.3487,140.25,3.05455864
1/1/2008 12:00,5.4072,5.4767,5.1073,5.3501,5.3723,5.1569,5.3824,5.4014,5.2017,5.3706,5.3643,5.1944,8.8811,18.554,2.90990936
1/1/2008 12:00,5.5774,5.6449,5.2982,5.5027,5.5457,5.3025,5.4969,5.4661,5.2639,5.3818,5.3626,5.1951,8.2945,17.038,1.77550304
1/1/2008 12:00,6.0195,5.9217,5.3675,5.6461,5.6636,5.2983,5.6126,5.5935,5.3285,5.5379,5.5092,5.2203,9.1478,308.44,0.17569332
1/1/2008 12:00,5.75,5.7723,5.4989,5.6318,5.6337,5.3626,5.5883,5.5267,5.3055,5.4711,5.4815,5.2587,5.9502,299.38,0.14369764
1/1/2008 12:00,5.567,5.6007,5.4403,5.497,5.4794,5.258,5.4815,5.4655,5.3096,5.4271,5.4191,5.2132,8.0606,296.28,0.000169752
1/1/2008 12:00,5.4524,5.469,5.3754,5.3752,5.3556,5.2063,5.3314,5.3282,5.2227,5.3041,5.2967,5.1354,6.3294,311.12,0.020308512
1/1/2008 12:00,5.3429,5.3301,5.2226,5.2416,5.2296,5.0351,5.2169,5.2109,5.0723,5.1661,5.1559,4.9718,7.7777,329.79,0.034433936
1/1/2008 12:00,5.1865,5.2133,5.0941,5.1121,5.1061,4.9458,5.0992,5.0997,5.0016,5.0738,5.0487,4.8547,8.1851,346.06,3.48778632
1/1/2008 12:00,5.2116,5.2443,5.0172,5.0484,5.052,4.8793,5.0391,5.027,4.9188,4.9936,4.9874,4.8411,6.6521,326.81,1.39417832
1/1/2008 12:00,4.9949,5.004,4.8801,4.8895,4.8829,4.7555,4.8897,4.8791,4.7925,4.823,4.8203,4.6944,3.6212,333.63,0.06234528
1/1/2008 12:00,4.8201,4.8372,4.726,4.7044,4.6869,4.5654,4.6756,4.6756,4.6052,4.6334,4.626,4.5265,2.3455,372.56,0.231572592
1/1/2008 12:00,4.7036,4.6777,4.5999,4.5849,4.5692,4.4361,4.5582,4.5638,4.4912,4.5251,4.5543,4.4541,3.8081,381.72,0.018662432
1/1/2008 12:00,4.4773,4.4858,4.4947,4.4439,4.4212,4.3094,4.3787,4.3568,4.2941,4.3405,4.3799,4.2822,5.311,372.12,0
1/1/2008 12:00,4.2902,4.3049,4.3412,4.3053,4.3149,4.2861,4.3499,4.3458,4.3208,4.3169,4.3135,4.2797,-0.11184,103.53,0.93445904
1/1/2008 12:00,4.2715,4.3132,4.2331,4.2159,4.2686,4.0886,4.255,4.2747,4.1841,4.2666,4.2312,4.1126,9.7975,54.681,5.1686912
1/1/2008 12:00,4.7508,4.7913,4.6747,4.6753,4.7306,4.4727,4.7033,4.7224,4.5664,4.7174,4.6532,4.5254,11.324,220.63,7.4572568
1/1/2008 12:00,4.9318,4.9775,4.8677,4.8873,4.942,4.7429,4.932,4.947,4.8083,4.9292,4.8944,4.715,9.309,42.385,3.18783968
1/1/2008 12:00,5.254,5.3103,5.1767,5.1678,5.2383,5.0051,5.2058,5.2025,5.0535,5.1978,5.1219,4.9246,8.0668,252,3.30584304
1/1/2008 12:00,5.255,5.3093,5.2057,5.2066,5.2513,5.0862,5.2417,5.2411,5.1186,5.2108,5.1659,5.0298,6.0988,102.55,3.07847824
1/1/2008 12:00,5.4552,5.5028,5.368,5.3987,5.4681,5.2596,5.4601,5.4701,5.341,5.4659,5.4458,5.2621,8.1334,360.85,9.2293648
1/1/2008 12:00,5.6304,5.6667,5.5117,5.515,5.6001,5.3991,5.5854,5.5968,5.4778,5.5991,5.5881,5.4013,8.2345,301.27,3.66931808
1/1/2008 12:00,5.7204,5.7715,5.6265,5.5815,5.6181,5.398,5.5892,5.6035,5.4855,5.603,5.6019,5.4254,8.8773,366.65,3.21896088
1/1/2008 12:00,5.7136,5.752,5.678,5.7,5.7581,5.5807,5.7494,5.758,5.6748,5.7468,5.7413,5.59,6.9137,27.571,6.0092208
1/1/2008 12:00,5.9545,5.9927,5.8678,5.9085,5.9633,5.7688,5.9579,5.9635,5.864,5.9527,5.9283,5.7955,7.8239,251.54,5.614676
1/1/2008 12:00,6.0685,6.1176,6.0195,6.0459,6.1031,5.9436,6.1041,6.1128,6.0212,6.113,6.0859,5.9714,7.9021,67.228,2.99910632
1/1/2008 12:00,5.976,6.0185,5.9405,5.9322,5.9406,5.8469,5.9166,5.9082,5.8715,5.882,5.841,5.7902,4.7494,435.34,3.2605244
1/1/2008 12:00,5.8993,5.9052,5.8621,5.7304,5.7112,5.6814,5.7135,5.6983,5.6601,5.6291,5.5817,5.6688,5.6636,395.06,2.27138464
1/1/2008 12:00,5.6556,5.6754,5.6486,5.6254,5.6452,5.563,5.6468,5.623,5.5651,5.5853,5.5479,5.4211,4.3717,50.889,1.93419544
1/1/2008 12:00,5.8126,5.8403,5.7251,5.7596,5.798,5.565,5.7706,5.7914,5.6684,5.77,5.7375,5.5539,9.9061,199.23,6.219096
1/1/2008 12:00,5.9912,6.0405,5.9322,5.9678,6.027,5.8544,6.0049,6.0157,5.9088,5.997,5.9622,5.794,7.2786,283.18,5.8086048
1/1/2008 12:00,6.1151,6.1587,6.0616,6.0674,6.1546,5.9704,6.1435,6.1565,6.0413,6.1563,6.1007,5.9529,9.1039,67.354,7.417648
1/1/2008 12:00,6.24,6.287,6.1997,6.1732,6.2288,6.1133,6.1969,6.2036,6.1448,6.1675,6.098,6.0793,7.1165,395.22,4.88355928
1/1/2008 12:00,6.2059,6.2162,6.1183,6.1032,6.1517,5.9826,6.1225,6.1077,5.997,6.0343,5.9661,5.7589,5.8825,279.43,0.76228936
1/1/2008 12:00,6.1818,6.2072,6.1606,6.1595,6.1906,6.0848,6.1739,6.1651,6.1173,6.134,6.0957,5.9677,6.4902,107.18,4.21324464
1/1/2008 12:00,6.1169,6.1402,6.0884,6.0724,6.1111,6.006,6.1126,6.1164,6.0681,6.1071,6.0905,5.995,7.9187,552.42,7.4531416
1/1/2008 12:00,6.0959,6.1125,6.092,6.0533,6.0803,5.9959,6.0706,6.0675,6.0231,6.0349,6.0139,5.9573,7.9498,149.9,2.93429192
1/1/2008 12:00,6.2064,6.1972,6.1186,5.9897,6.0144,5.9526,6.0121,6.0165,5.996,5.9925,5.9699,5.9432,8.7087,251.5,1.79736504
1/1/2008 12:00,6.5452,6.5239,6.4375,6.2826,6.2366,6.0742,6.0928,6.0739,6.0192,6.0352,6.0135,5.9343,8.71,198.28,0.28739528
1/1/2008 12:00,6.4463,6.4588,6.4549,6.3832,6.4051,6.3457,6.3966,6.395,6.3709,6.3594,6.34,6.3025,7.7759,427.7,4.446988
1/1/2008 12:00,6.4467,6.4586,6.4751,6.4015,6.4182,6.4076,6.4267,6.4124,6.4036,6.3675,6.3335,6.3167,5.5159,606.53,3.21109056
1/1/2008 12:00,6.6078,6.5907,6.5282,6.4278,6.4155,6.3758,6.3929,6.368,6.3498,6.3213,6.2901,6.279,5.8759,421.6,1.49258304
1/1/2008 12:00,6.5232,6.5194,6.456,6.3307,6.3277,6.3063,6.3307,6.3152,6.3052,6.2689,6.2264,6.1993,7.3107,499.61,2.7530688
1/1/2008 12:00,6.3989,6.4104,6.4263,6.3862,6.3883,6.3423,6.3886,6.3893,6.3468,6.3188,6.2855,6.2209,8.2761,79.942,4.11653744
1/1/2008 12:00,6.4641,6.4693,6.4653,6.386,6.3925,6.3663,6.3867,6.3718,6.3571,6.3175,6.2922,6.2891,7.6023,517.28,3.9914868
1/1/2008 12:00,6.0381,6.0444,6.0719,6.0255,6.0362,6.0168,6.0521,6.0423,6.028,6.0012,5.982,5.9905,4.3949,366.92,3.60892752
1/1/2008 12:00,6.1762,6.1708,6.0946,5.9728,5.9778,5.9565,5.983,5.971,5.9665,5.9346,5.8985,5.8983,4.5324,621.94,2.77426208
1/1/2008 12:00,6.1044,6.1083,6.1266,6.0527,6.0272,5.9494,5.968,5.9381,5.8981,5.8748,5.8464,5.8377,4.6913,451.88,2.77400488
1/1/2008 12:00,6.0609,6.064,6.0246,5.9543,5.9309,5.8858,5.9234,5.9149,5.8897,5.8723,5.8571,5.8048,5.7514,393.4,2.90527976
1/1/2008 12:00,6.2997,6.2763,6.2413,6.164,6.1387,6.0411,6.0336,6.0078,5.9639,5.9005,5.8723,5.8402,5.0335,163.66,0.291423032
1/1/2008 12:00,6.5138,6.5212,6.3041,6.1482,6.0958,6.0212,6.0157,5.9726,5.9411,5.8909,5.8603,5.8486,7.5754,405.84,2.53074512
1/1/2008 12:00,6.2556,6.2871,6.2539,6.1863,6.1123,5.9207,5.9772,5.9605,5.8978,5.9192,5.8871,5.7648,8.0338,148.11,2.9814624
1/1/2008 12:00,6.2417,6.2726,6.2262,6.1591,6.172,6.0489,6.0917,6.0774,5.9828,5.9487,5.8831,5.7947,8.8852,278.82,4.17903704
1/1/2008 12:00,6.2346,6.2828,6.2211,6.1827,6.2505,6.0735,6.2285,6.2437,6.1511,6.174,5.9952,5.8371,8.1624,240,3.3466864
1/1/2008 12:00,7.2609,6.6701,6.5113,6.3886,6.3847,6.3438,6.3399,6.2681,6.2299,6.1827,6.1046,6.0562,10.721,562.55,1.61475304
1/1/2008 12:00,6.7556,6.8246,6.7627,6.7239,6.7611,6.5957,6.6906,6.6729,6.5033,6.4704,6.4051,6.0981,9.8193,407.88,6.856952
1/1/2008 12:00,7.2168,7.2668,7.0942,6.9484,6.9709,6.8531,6.9187,6.8991,6.8283,6.793,6.4955,6.2983,10.681,382.57,2.82832552
1/1/2008 12:00,8.3053,7.7685,7.5578,7.3377,7.2334,7.0848,6.9622,6.8776,6.8213,6.7695,6.6575,6.4519,13.492,606.84,2.37323584
1/1/2008 12:00,7.8818,7.9118,7.6793,7.159,7.047,6.9266,6.9183,6.8444,6.8101,6.7508,6.6837,6.4542,12.54,785.36,4.32168016
1/1/2008 12:00,8.6537,8.6745,8.636,8.5363,8.4967,8.215,7.4846,6.9872,6.8712,6.8245,6.7601,6.6618,7.4847,333.5,2.84689536
1/1/2008 12:00,8.0763,8.1024,8.1094,7.997,7.7875,7.4811,7.2751,7.0086,6.8566,6.8267,6.7988,6.6669,3.0693,277.69,3.19344664
1/1/2008 12:00,7.6343,7.6728,7.5749,7.4874,7.4881,7.4191,7.4388,7.212,6.8864,6.8277,6.7858,6.6919,5.6917,243.38,1.60976336
1/1/2008 12:00,7.9196,7.8787,7.485,7.3736,7.3524,7.3122,7.3321,7.2553,6.9322,6.817,6.7794,6.7062,6.8343,626.33,1.47473336
1/1/2008 12:00,8.1262,8.1262,7.6871,7.4648,7.3574,7.2945,7.2467,7.1287,6.9653,6.845,6.7787,6.744,8.102,431.02,3.35090448
1/1/2008 12:00,8.0126,8.0752,7.8593,7.6982,7.5434,7.158,7.1971,7.0878,6.9439,6.9107,6.8878,6.7107,7.1703,476.81,2.75399472
1/1/2008 12:00,8.1005,8.1672,8.041,7.8926,7.7878,7.3435,7.2695,7.157,6.9729,6.9485,6.9239,6.7536,7.1014,413.53,2.51603328
1/1/2008 12:00,8.0609,8.0981,8.0554,7.8677,7.4897,7.1405,7.1414,7.0709,6.9522,6.9813,6.9518,6.7852,5.2867,313.64,3.62477104
1/1/2008 12:00,8.121,8.1618,8.0766,7.9358,7.9451,7.8809,7.7096,7.4006,7.19,6.9831,6.9351,6.8724,8.8893,502.19,2.5033276
1/1/2008 12:00,8.0942,8.1297,8.1055,8.022,7.9741,7.7013,7.5075,7.268,7.0748,7.0014,6.9581,6.8757,7.0704,368.87,4.37049672
1/1/2008 12:00,8.2986,8.3046,8.0134,7.9129,7.7716,7.5891,7.4463,7.1956,7.0793,7.0538,7.0377,6.9625,7.4528,621.67,2.10116968
1/1/2008 12:00,8.4707,8.4968,8.4265,8.3045,8.1769,7.9103,7.7566,7.5065,7.2085,7.1119,7.0639,6.9866,8.0344,315.28,2.46953152
1/1/2008 12:00,8.1456,8.1882,8.2075,8.1528,8.1679,8.1281,8.152,8.1268,8.0802,7.6995,7.1237,6.989,7.5132,637.24,5.7777408
1/1/2008 12:00,8.0865,8.1433,8.1279,8.0938,8.1204,8.0216,8.106,8.1186,8.0236,8.0404,7.9845,7.1094,8.5032,195.25,5.6398816
1/1/2008 12:00,7.8724,7.9125,7.9307,7.886,7.9064,7.8603,7.9144,7.9138,7.887,7.8898,7.9073,7.8451,8.8777,321.37,7.2062296
1/1/2008 12:00,7.7666,7.8208,7.8191,7.7483,7.8026,7.7277,7.8046,7.8199,7.7584,7.7897,7.8005,7.7076,9.1515,247.62,5.6846344
1/1/2008 12:00,7.9085,7.9493,7.9415,7.8688,7.8953,7.8426,7.8837,7.8771,7.8274,7.827,7.8298,7.751,10.92,465.82,5.02522504
1/1/2008 12:00,8.7751,8.7591,8.5253,8.1769,8.1234,8.0245,8.0093,7.9581,7.9127,7.8699,7.8394,7.8118,13.344,729.32,2.85383976
1/1/2008 12:00,9.7235,9.6714,8.7984,8.2081,8.0417,7.9409,7.9725,7.9531,7.8758,7.8805,7.8687,7.7958,9.9002,191.9,2.19535632
