"","MAE","MAPE","RMSE","NSE","MAE","MAPE","RMSE","NSE","MAE","MAPE","RMSE","NSE"
"1",0.0402027818478184,0.646404218444876,0.0698304036771102,0.998523541733574,0.0680729082376266,1.1623808626521,0.0921365746452811,0.997138706788371,0.055576961321251,0.821725277805041,0.0919433778740782,0.997312296913982
"2",0.040552970317503,0.646381840783744,0.0702615834884736,0.998505252151392,0.0691569758142602,1.18558403903786,0.0972983488372467,0.996809129490825,0.0567444563505534,0.845210407399351,0.0913477271978513,0.997347008416153
"3",0.0503640293129341,0.801714086069628,0.0824807215410291,0.99794014346599,0.0584960498555867,1.06285388571522,0.0856857443671377,0.997525340861692,0.0605044142635653,0.899253875493762,0.100909632101139,0.996762530949037
"4",0.0446300984476995,0.700476017053817,0.0749321902744787,0.998299921696324,0.0591684118816887,1.03949760570545,0.0840488459169148,0.997618987099276,0.0604980722968665,0.880049280278885,0.102410925433553,0.996665482806514
"5",0.0409330157253609,0.645007132492854,0.0712841648124852,0.998461426663879,0.0521761826708073,0.933889139894928,0.0773433611657188,0.997983750267745,0.0612604511177482,0.854575974453708,0.11307641708705,0.995934776214624
"6",0.0593508613051315,0.883221391051348,0.083729736109289,0.997877285847939,0.0546846976402527,0.978557399174651,0.0801726719151674,0.997833538604469,0.0618294668344981,0.912934139361816,0.0955064978914468,0.997099945093885
"7",0.0402569014120253,0.641164423509358,0.0698925887802568,0.998520910942814,0.0632867522870959,1.10312821692082,0.0906958230017513,0.997227491976203,0.0541858990689985,0.81343931160484,0.0890142087420019,0.997480820861753
"8",0.0406671922031864,0.651441016254516,0.0706246534956803,0.998489764305675,0.0644819418829515,1.11603387830607,0.0903378043681598,0.997249337533265,0.0576970008040674,0.847503939259691,0.0965356864538799,0.9970371057028
"9",0.0446994514408105,0.722935175666995,0.0744219727476189,0.998322994734049,0.0678241528097328,1.18757300524697,0.0907367337251995,0.997224990187543,0.0583285384967612,0.87373751131723,0.0925474662201117,0.997276863283231
"10",0.0563428647197142,0.843551725258745,0.0851048471862045,0.997806989743087,0.0830850904855946,1.40414888555282,0.110096099763616,0.99591452923015,0.0714393309854793,1.02035406313849,0.114900697922729,0.995802548245078
