Date_GMT,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Water_temperature,Air_Temperature,Pyranometer,Wind_Speed
depth,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m,,,
,9.9145,9.9367,9.9592,9.9253,9.933,9.9019,9.927,9.8852,9.8706,9.8266,9.7876,9.5968,4.9455,91.302,2.19381312
,8.0466,8.0569,8.0406,7.9877,8.0111,7.9838,8.018,7.9963,7.9856,7.9329,7.9041,7.9128,9.0443,81.812,1.17879904
,7.6348,7.6578,7.6799,7.6463,7.6647,7.6292,7.6761,7.6692,7.6644,7.6078,7.6017,7.5785,8.3097,76.838,7.2617848
,7.9902,8.0034,8.0098,7.9451,7.9672,7.9425,7.992,7.9711,7.9216,7.8473,7.772,7.6599,10.273,209.82,2.7103736
,6.6136,6.6237,6.6622,6.6211,6.6338,6.6134,6.6476,6.632,6.6146,6.5624,6.5277,6.5444,6.3355,222.44,2.28722816
,5.3071,5.324,5.3743,5.3341,5.3545,5.3383,5.3776,5.3605,5.3442,5.2873,5.2415,5.2354,-0.28739,48.455,0.511025536
,4.0692,4.084,4.1254,4.1223,4.1767,4.1683,4.2805,4.2983,4.2471,4.2362,4.2535,4.2571,5.8983,149.14,1.99669504
,4.0011,4.0172,3.9927,3.9454,4.0848,4.0292,4.1669,4.1698,4.1629,4.1579,4.1307,4.119,6.1367,31.651,1.3081192
,5.8362,5.8707,5.8785,5.8271,5.8547,5.8015,5.7947,5.5842,5.525,5.3731,5.24,5.0527,7.4786,32.774,2.00569704
,4.5424,4.5537,4.6013,4.5654,4.5814,4.5607,4.5832,4.5689,4.554,4.5247,4.4916,4.5099,-2.6333,127.76,0.080158952
,4.0216,4.0355,4.0757,4.0614,4.1622,4.15,4.1477,4.1277,4.0933,4.0321,4.0093,4.0308,-2.9677,221.14,0.095873872
,4.9936,5.0141,5.0243,5.002,5.0312,4.8049,4.8268,4.7499,4.705,4.5788,4.4373,4.2819,5.1969,42.187,0.102509632
,4.7489,4.7931,4.7776,4.7326,4.7813,4.7141,4.7608,4.7637,4.7054,4.7045,4.674,4.6575,5.6614,118.5,4.44395304
,4.3348,4.4068,4.3696,4.3215,4.4022,4.3046,4.3779,4.3819,4.3337,4.3203,4.2852,4.2786,4.1977,68.8,0.018888768
,3.6553,3.7068,3.7082,3.68,3.6976,3.6614,3.7275,3.7048,3.6551,3.6421,3.6265,3.6183,1.1456,278.92,1.94474064
,3.7678,3.8378,3.8075,3.7527,3.7217,3.6677,3.705,3.6909,3.6924,3.6109,3.62,3.6291,4.1667,345.31,0.90873904
,4.0339,4.1435,4.0088,3.9641,4.0251,3.9192,4.0132,3.9105,3.8894,3.8099,3.7714,3.7719,9.3502,92.65,0.8094084
,5.509,5.4218,5.1075,4.8759,4.8084,4.6018,4.6095,4.5309,4.4153,4.2252,4.1582,4.1027,7.617,76.46,1.19320224
,5.5679,5.6245,5.5655,5.477,5.4642,5.4009,5.4594,5.4201,5.3367,5.2126,5.1509,5.0179,6.6687,140.33,3.04221304
,5.6108,5.6152,5.4757,5.4028,5.3945,5.3367,5.3584,5.3271,5.3338,5.2837,5.1949,5.2198,8.7732,534.96,2.0889784
,7.088,7.0886,6.8778,6.7211,6.6845,6.5324,6.4238,6.2179,6.1313,5.9356,5.8568,5.782,10.839,431.99,0.01100816
,7.5424,7.539,7.4129,7.1988,7.1611,7.1263,7.1223,7.0044,6.7014,6.4493,6.2325,6.0426,8.127,538.12,3.33063712
,7.7651,7.7666,7.644,7.441,7.316,7.1661,7.101,7.0298,6.9701,6.9165,6.8632,6.8151,10.712,260.32,2.40883232
,9.1546,9.1534,9.0368,8.4472,7.6764,7.265,7.1032,6.9955,6.9672,6.9136,6.8684,6.854,9.5395,495.21,5.7113832
,11.072,11.081,9.916,9.331,8.8607,8.5427,8.2568,7.7769,7.6086,7.4253,7.2858,7.1535,10.766,123.89,0.95765848
,12.279,12.283,11.562,10.963,10.593,9.4253,8.3869,7.9782,7.7647,7.6324,7.5529,7.5193,9.7545,32.607,2.23270176
,12.339,12.355,12.244,12.123,11.332,9.4822,8.6543,8.1498,7.8029,7.7094,7.6475,7.6348,8.7214,133.81,0.78929536
,11.891,11.903,11.928,11.86,11.554,9.7099,9.099,8.3164,7.8768,7.7561,7.699,7.6675,11.245,137.98,4.14050848
,11.893,11.894,11.833,11.578,11.525,11.437,11.348,10.615,9.3158,8.1793,7.9278,7.742,11.831,854.94,5.398628
,12.233,12.205,11.995,11.878,11.763,11.717,11.621,10.97,9.8676,8.7069,8.202,8.0292,12.476,463.95,3.4405644
,15.044,14.935,13.961,13.164,12.283,11.884,11.568,10.734,9.1641,8.5713,8.4037,8.2252,12.212,731.18,4.59806728
