"Set","MAE","MAPE","RMSE","NSE"
"Train",0.253023960789528,0.0235828799585883,0.39236987063587,0.99456812407186
"Validation",0.2656754553624,0.0318806031575567,0.388345452423606,0.99578984371544
"Test",0.272311656183513,0.0246625125653151,0.415242602330501,0.9932041243836
