"","MAE","RMSE","NSE","MAPE","MAE","RMSE","NSE","MAPE","MAE","RMSE","NSE","MAPE"
"1",0.156867006166722,0.235976245348868,0.984820301375207,2.35977513249189,0.20608882847999,0.252333231200663,0.979923628670756,3.30653272913795,0.181623217780823,0.272425525101805,0.978990751401357,2.55026243690012
"2",0.112606418783293,0.184272030861507,0.990743529524699,1.71827221707202,0.262979441138623,0.3312036237465,0.965411917884624,4.09145221633923,0.191487095848191,0.277539348821982,0.978194600058259,2.61219379329317
"3",0.101343544021348,0.162548132064687,0.992797379346276,1.55635107093415,0.219540543231112,0.274356803529874,0.976266172014734,3.4980145106022,0.153371277324046,0.252547178892428,0.981944897023361,2.11248181134979
"4",0.0954576996645095,0.156522245971087,0.993321503266475,1.42004492179553,0.184739877564718,0.238220006898308,0.982106603420931,2.93444461571545,0.146043999027868,0.222220755160165,0.986020740563987,1.9845065061611
"5",0.0855405721631691,0.148260409452537,0.994007928786523,1.31619476396347,0.176759759544824,0.217954041820046,0.985021574073722,2.75872656917245,0.165592321015902,0.2602023698694,0.980833737933935,2.21269058344519
"6",0.087777418606163,0.147061917232546,0.994104413403309,1.31366789305541,0.157338179813982,0.193970341579313,0.988136659848214,2.55748503120302,0.142931836873794,0.223077418694588,0.985912752408923,1.96565555823888
"7",0.0940634201912251,0.156959992250687,0.993284095482767,1.44597293346349,0.204986586620344,0.259998233889761,0.978685403402376,3.23420610805802,0.158536225593545,0.243473979601747,0.983218915067917,2.17024137038336
"8",0.0970719747861845,0.158454214343068,0.993155619194977,1.51591392424255,0.180015563431339,0.213931603857766,0.985569339284668,2.98508331563192,0.167030397024808,0.281074082951922,0.977635637067464,2.2630090777457
"9",0.0966696205353521,0.160925627116167,0.99294045036234,1.4638815559898,0.162469301942923,0.206180436421393,0.986596098403435,2.54658178482068,0.164861852859658,0.252253428091651,0.981986874260842,2.20732604556148
"10",0.104671070573933,0.165441457514866,0.992538686795951,1.55483237779745,0.239934312269655,0.305384944690499,0.970594296948762,3.66681899471453,0.185075212622282,0.253713402672023,0.981777760665933,2.52317930803281
