"","Type","Pre","Ori","MAE","RMSE","NSE","MAPE"
"1","Train",4.67743537543935,4.7816,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"2","Train",4.8076723300797,4.9421,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"3","Train",4.9759526171458,5.1658,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"4","Train",5.20060700520048,5.0764,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"5","Train",5.13098245643886,5.0844,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"6","Train",5.18349192675437,5.1768,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"7","Train",5.17898210857947,5.5377,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"8","Train",5.50202396882288,5.723,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"9","Train",5.67906099644101,5.7833,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"10","Train",5.67535497748443,5.7234,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"11","Train",5.47546312554143,5.6251,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"12","Train",5.66704609647202,5.8487,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"13","Train",5.68471594125246,5.7812,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"14","Train",5.93286309744916,5.9626,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"15","Train",5.93974597170663,5.9482,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"16","Train",6.20849491650749,5.9982,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"17","Train",6.16551551253018,6.2217,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"18","Train",6.271398325006,6.1647,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"19","Train",6.1767368543523,6.1557,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"20","Train",6.08940849042687,5.7302,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"21","Train",5.7496004975136,5.3721,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"22","Train",5.41464564845131,5.2694,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
"23","Train",5.25450626384749,5.3436,0.184418982344539,0.226170183447702,0.986255687690314,2.87609819252029
"24","Train",5.17758382765213,5.294,0.199559422248757,0.299444275463612,0.981162763706817,2.53516123982126
"25","Train",5.26436691696799,5.2479,0.127174649730901,0.191277912892976,0.991936503893513,1.76179988657604
