"Set","MAE","MAPE","RMSE","NSE"
"Train",0.422074085530763,0.0412002832745525,0.607995183240149,0.987009345830263
"Validation",0.523142897806745,0.0638612881000226,0.701938583468756,0.986266777079205
"Test",0.515007648340728,0.0469385598084382,0.713370622583471,0.979370516986456
