"","measurements","predictions"
"1",6.145,5.99047875272388
"2",6.145,5.99869754959563
"3",6.1544,6.02271276652005
"4",6.1573,6.04334975149545
"5",6.1584,6.03666631668833
"6",6.1779,6.0385268002703
"7",6.2612,6.0225049444343
"8",6.4511,6.02078895208863
"9",6.6098,6.01976850813822
"10",7.1049,6.03891533957281
"11",6.7491,6.03223241743207
"12",6.6383,6.05485632723371
"13",6.7099,6.07072452907742
"14",6.8798,6.07069771914322
"15",6.6712,6.08000903074499
"16",6.6915,6.08286295104898
"17",6.7118,6.08392878172679
"18",6.5766,6.10327310098719
"19",6.2805,6.18599370655677
"20",6.5215,6.37459136952053
"21",6.6158,6.53218155224527
"22",6.4065,7.02377553128529
"23",6.1762,6.67046213565373
"24",6.0606,6.5604020197865
"25",6.0953,6.63147852737662
"26",6.218,6.80016182649923
"27",6.2234,6.59299072579251
"28",6.2038,6.61312216476738
"29",6.1296,6.63325292110947
"30",6.091,6.49895938728141
"31",6.0584,6.20484169831177
"32",6.0445,6.44418382067505
"33",6.0221,6.53780868707058
"34",5.9823,6.32991289295579
"35",5.9489,6.10113145516983
"36",5.9225,5.98626927212442
"37",5.9121,6.02071383099672
"38",5.8996,6.14257313317729
"39",5.8475,6.14791073767709
"40",5.7822,6.12841505235793
"41",5.7564,6.05468244822429
"42",5.7231,6.01631202432444
"43",5.6929,5.98390168419324
"44",5.696,5.97006794027647
"45",5.684,5.94779001654887
"46",5.6459,5.90822597186794
"47",5.6237,5.87501942363678
"48",5.5906,5.84876654795351
"49",5.5736,5.83840925002439
"50",5.5587,5.82596573787518
"51",5.551,5.77417948391406
"52",5.5232,5.7092768986112
"53",5.5122,5.68361841723056
"54",5.5068,5.65050771609537
"55",5.4845,5.62047705701986
"56",5.4769,5.62353264710447
"57",5.4671,5.61158511921684
"58",5.4672,5.57370457309879
"59",5.4502,5.55162250839796
"60",5.4245,5.51870963601739
"61",5.4304,5.50179370999415
"62",5.3934,5.48696463007171
"63",5.3666,5.4792897030027
"64",5.3702,5.45164247119845
"65",5.3488,5.44068865730599
"66",5.2947,5.4352992511517
"67",5.3068,5.41311688072342
"68",5.286,5.40554141639089
"69",5.282,5.3957798472525
"70",5.2767,5.39585599801884
"71",5.2674,5.37894027848022
"72",5.262,5.35337917407938
"73",5.273,5.35921836178271
"74",5.2744,5.32242750058395
"75",5.2633,5.29577205043718
"76",5.269,5.29932641548031
"77",5.2584,5.27803774126603
"78",5.2524,5.2242531016581
"79",5.2446,5.23625528948247
"80",5.2452,5.21556268292389
"81",5.2408,5.21156534294598
"82",5.238,5.20627609301508
"83",5.2327,5.19701171895765
"84",5.2309,5.1916230396528
"85",5.2196,5.20253227787361
"86",5.2006,5.20390141457025
"87",5.1932,5.19284902208065
"88",5.2043,5.19849217782371
"89",5.2045,5.18793656490248
"90",5.2027,5.18195231126006
"91",5.2138,5.17417955330068
"92",5.1915,5.17475409928879
"93",5.1852,5.17035949191636
"94",5.1847,5.16755470271041
"95",5.1953,5.16226554222402
"96",5.1971,5.16045458970386
"97",5.1892,5.14920317217066
"98",5.1985,5.13029951939778
"99",5.2029,5.12292413660864
"100",5.1914,5.13393370125812
"101",5.1934,5.134111225224
"102",5.1924,5.13230099774267
"103",5.1938,5.14331016282757
"104",5.1964,5.12112777421336
"105",5.1916,5.11484551299663
"106",5.1866,5.11432718370136
"107",5.1876,5.12483992348012
"108",5.1902,5.12660736933167
"109",5.1952,5.11873530259026
"110",5.1867,5.12795591898702
"111",5.1889,5.13230716911148
"112",5.1985,5.12085736737426
"113",5.189,5.12282353422705
"114",5.1765,5.12180869820576
"115",5.1854,5.12317874736028
"116",5.1954,5.12574124014638
"117",5.175,5.12095007942749
"118",5.1755,5.11596005952567
"119",5.1902,5.11693265817687
"120",5.2286,5.11949591063389
"121",5.2218,5.1244438179703
"122",5.179,5.11597616531257
"123",5.1581,5.11814148988665
"124",5.1424,5.12766042589747
"125",5.1575,5.11819898638418
"126",5.144,5.10575653778004
"127",5.1362,5.11458000730196
"128",5.1424,5.12449656906482
"129",5.136,5.1042038680573
"130",5.1319,5.10468010190984
"131",5.126,5.11926784788257
"132",5.1242,5.15740587946486
"133",5.1307,5.1506279378869
"134",5.1294,5.10807624340438
"135",5.1364,5.08728684728035
"136",5.1396,5.07166403438772
"137",5.1374,5.08664856215262
"138",5.1288,5.07321228305586
"139",5.1224,5.06544072268632
"140",5.1086,5.07158239296677
"141",5.104,5.06520217910287
"142",5.1076,5.06110728328359
"143",5.1161,5.05522389297542
"144",5.1363,5.05341539904033
"145",5.2488,5.05985452337756
"146",5.3309,5.05854492735942
"147",5.2056,5.06548185406624
"148",5.1891,5.06864109052239
"149",5.173,5.06643511648601
"150",5.1538,5.05786900793907
"151",5.1237,5.05148959221236
"152",5.1306,5.03775563528432
"153",5.1373,5.03316502867078
"154",5.1309,5.03672354317157
"155",5.1107,5.04515060235738
"156",5.1062,5.06520494781312
"157",5.1123,5.17697459927235
"158",5.1106,5.25853122954661
"159",5.0902,5.13400928882061
"160",5.0953,5.11759402371655
"161",5.1091,5.10157665755118
"162",5.0956,5.08247863189907
"163",5.1001,5.05254905542383
"164",5.0846,5.05938602341796
"165",5.0922,5.06602445418519
"166",5.0909,5.05964615684219
"167",5.0877,5.03955461914971
"168",5.1108,5.03506386083315
"169",5.1386,5.04110614082514
"170",5.1611,5.03939800699848
"171",5.1684,5.01910744607337
"172",5.1845,5.02415567912262
"173",5.1968,5.03784969506669
"174",5.1889,5.02441549870303
"175",5.1993,5.02886739171004
"176",5.1817,5.01344688223608
"177",5.1754,5.02098099049233
"178",5.1618,5.01967017043373
"179",5.1538,5.01647141749457
"180",5.1615,5.03940807958498
"181",5.1688,5.06701394319402
"182",5.1643,5.08935344604699
"183",5.1513,5.09658920906442
"184",5.1411,5.11256876174634
"185",5.1269,5.12477156346594
"186",5.1083,5.11690339138383
"187",5.0902,5.12721908034538
"188",5.0781,5.10970988600691
"189",5.0569,5.10342994276096
"190",5.0462,5.08989901441489
"191",5.0477,5.08193240550703
"192",5.0397,5.08956506561764
"193",5.0421,5.09680051418083
"194",5.0236,5.09231128917379
"195",5.0202,5.07937593704267
"196",5.0073,5.06922239653562
"197",4.9776,5.05509432100856
"198",4.9852,5.03659428096485
"199",4.985,5.01859103335618
"200",4.9883,5.00654985999894
"201",4.9746,4.98546626161429
"202",4.8804,4.97481634830961
"203",4.9248,4.97628933965862
"204",4.9372,4.96832232576312
"205",4.9359,4.97068964678111
"206",4.9224,4.95228882242766
"207",4.9047,4.94889277423238
"208",4.8925,4.93605667807674
"209",4.9407,4.90652630005682
"210",4.954,4.91406108849469
"211",4.956,4.91384508362355
"212",4.9722,4.91710606124718
"213",4.9954,4.9034744358247
"214",4.9927,4.80984567499838
"215",4.9985,4.85395035276651
"216",5.0244,4.86625556429312
"217",5.1418,4.86494673802967
"218",5.0616,4.85151460519788
