,Date_GMT,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
,,0.5m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,12m
32,02/01/2011 07:00,3.070066645,3.308447319,3.570383691,3.56257804,3.61388602,3.623227982,3.66459004,3.653811667,3.649623208,3.654940414,3.675678645,3.878235077
33,02/01/2011 08:00,3.064683494,3.30376044,3.572843358,3.565369717,3.610829394,3.623766912,3.660660439,3.651600847,3.649176167,3.652884542,3.674955538,3.879211684
34,02/01/2011 09:00,3.048024456,3.298455561,3.571452897,3.564598347,3.607705917,3.622157721,3.656974279,3.649828913,3.64720237,3.651540162,3.672135155,3.880635372
35,02/01/2011 10:00,3.025023828,3.288724443,3.568337899,3.564517775,3.600969009,3.619514021,3.652996071,3.651545499,3.647618221,3.654255601,3.670075186,3.883420029
36,02/01/2011 11:00,3.02293366,3.289293156,3.56851112,3.569153801,3.598547398,3.62048242,3.658310047,3.660061556,3.652312109,3.655040099,3.671668999,3.884372985
37,02/01/2011 12:00,3.043308967,3.30490608,3.57939518,3.582693679,3.607772046,3.627562094,3.672415607,3.668521811,3.657744455,3.65339935,3.668252317,3.882818599
38,02/01/2011 13:00,3.040019393,3.311904312,3.58814266,3.589185937,3.615815512,3.628753346,3.67484706,3.671364751,3.65563759,3.653312332,3.665269618,3.883213768
39,02/01/2011 14:00,3.022389606,3.306223668,3.584136428,3.583794665,3.612424775,3.624369878,3.671010469,3.673498688,3.654478674,3.655698011,3.666512701,3.883478406
40,02/01/2011 15:00,3.010737087,3.296043472,3.577477558,3.576946615,3.609775657,3.622865269,3.674168517,3.674452041,3.655156282,3.655592551,3.667801305,3.885690686
41,02/01/2011 16:00,3.009728207,3.283636846,3.577857202,3.578566054,3.609339223,3.623368446,3.677619794,3.671997235,3.652638221,3.657210204,3.667251681,3.886613903
42,02/01/2011 17:00,3.001586153,3.275311329,3.577076964,3.580471551,3.61148289,3.623448373,3.678334625,3.671693938,3.650182465,3.65706428,3.66694784,3.88798838
43,02/01/2011 18:00,2.992150819,3.273398223,3.575214296,3.580622694,3.612149669,3.622520692,3.678616678,3.672266657,3.648798139,3.654947532,3.665455422,3.889039095
44,02/01/2011 19:00,2.983113771,3.272257091,3.574676888,3.579745622,3.612906691,3.620856576,3.677121923,3.672731674,3.646881665,3.65367007,3.662596749,3.889560369
45,02/01/2011 20:00,2.974310052,3.268332799,3.572763788,3.577659822,3.611292155,3.618215553,3.675689826,3.672010421,3.645028045,3.652240865,3.660440905,3.891559738
46,02/01/2011 21:00,2.957546155,3.256742617,3.568440595,3.572907415,3.607678098,3.613034939,3.670169842,3.666870403,3.642248254,3.650051737,3.657260209,3.893955336
47,02/01/2011 22:00,2.968764404,3.261014079,3.571118763,3.57814681,3.608649727,3.61643878,3.675708228,3.670360556,3.644180548,3.65159974,3.65707248,3.895223264
48,02/01/2011 23:00,2.982072759,3.27477535,3.578075989,3.586339184,3.618323949,3.624906866,3.68475557,3.672888162,3.645865329,3.650433199,3.655069454,3.89398254
49,03/01/2011 00:00,2.99760619,3.292732362,3.58744411,3.59593106,3.625603992,3.629453165,3.686081676,3.674825839,3.646684741,3.649033,3.652397826,3.891221013
50,03/01/2011 01:00,3.006201202,3.31126729,3.58975414,3.594385753,3.629717146,3.635361666,3.687393584,3.676423199,3.650562571,3.648166722,3.651651232,3.890572076
51,03/01/2011 02:00,3.017850881,3.321130148,3.593819277,3.591091695,3.629537866,3.638644646,3.686259582,3.675200695,3.650251903,3.647695333,3.652218654,3.892881075
52,03/01/2011 03:00,3.02522212,3.32480918,3.593386282,3.587723452,3.626866272,3.637130321,3.684052651,3.673341111,3.648550876,3.647644931,3.653202476,3.896764516
53,03/01/2011 04:00,3.019130966,3.317301959,3.588633185,3.58230904,3.620008079,3.633880676,3.678840609,3.668848155,3.646420556,3.646677357,3.65292499,3.901328274
54,03/01/2011 05:00,3.013498263,3.309887568,3.585340158,3.578995088,3.613024607,3.629496734,3.675388669,3.66761561,3.645133979,3.647423449,3.653264339,3.903463827
55,03/01/2011 06:00,3.009980222,3.308756874,3.583947579,3.579089585,3.609439909,3.626674614,3.675098429,3.668930481,3.643809829,3.648834794,3.654807627,3.903460648
56,03/01/2011 07:00,3.014670396,3.313953606,3.58525017,3.582370294,3.60971925,3.624569586,3.676812395,3.671256716,3.642929265,3.650114404,3.657096567,3.904137973
57,03/01/2011 08:00,3.016914033,3.319718433,3.586254862,3.583488556,3.610876705,3.621052397,3.679132915,3.673990804,3.642619298,3.65373117,3.660867915,3.90422746
58,03/01/2011 09:00,3.02140579,3.323838884,3.587753915,3.584674773,3.611669967,3.618401357,3.67874192,3.674174996,3.643253651,3.657935527,3.668415018,3.907227065
59,03/01/2011 10:00,3.02386773,3.322478062,3.585896628,3.58152144,3.610684093,3.614938014,3.674924027,3.673152564,3.642199517,3.661680536,3.676030658,3.912434918
60,03/01/2011 11:00,3.02927525,3.320141941,3.585694728,3.579105658,3.607672419,3.612926514,3.672536829,3.672620766,3.642981356,3.667231422,3.683434996,3.91774265
61,03/01/2011 12:00,3.031412828,3.318250267,3.586052561,3.580682167,3.606640004,3.608709808,3.672013992,3.672405694,3.645112226,3.671561514,3.691189208,3.922492386
62,03/01/2011 13:00,3.030353319,3.317681307,3.585907562,3.583201452,3.605896747,3.606474937,3.670982367,3.673840789,3.649069257,3.675003396,3.69693111,3.925330743
63,03/01/2011 14:00,3.029828962,3.317599286,3.584656434,3.583422015,3.604889407,3.605003361,3.669878606,3.675405061,3.653075675,3.676467201,3.700631483,3.927500421
64,03/01/2011 15:00,3.030483998,3.316839664,3.584296311,3.58414318,3.608409274,3.603696386,3.671274856,3.677174122,3.656871651,3.678272496,3.702995805,3.927923895
65,03/01/2011 16:00,3.029557882,3.315014199,3.585691408,3.585905857,3.612010047,3.60429076,3.673463016,3.677890838,3.660759644,3.679859397,3.704622475,3.927569126
66,03/01/2011 17:00,3.026624993,3.313004681,3.586716708,3.588541313,3.614656229,3.60699245,3.674539486,3.679435904,3.664752695,3.680676773,3.705817985,3.927107309
67,03/01/2011 18:00,3.023512183,3.309608338,3.587103507,3.590954373,3.61667346,3.610279101,3.674280483,3.680790699,3.666935857,3.6809218,3.705357433,3.926507688
68,03/01/2011 19:00,3.022129385,3.306894043,3.586269059,3.593505593,3.616385408,3.613292681,3.674337978,3.681730442,3.66897824,3.680778069,3.704182202,3.926374829
69,03/01/2011 20:00,3.020415913,3.304468737,3.586226927,3.596046708,3.61510532,3.61436998,3.674185888,3.682021852,3.670170073,3.680148492,3.7032848,3.926677061
70,03/01/2011 21:00,3.015240522,3.30142506,3.586087767,3.595794105,3.612340068,3.612716702,3.671949416,3.680985023,3.671410542,3.679769851,3.702767647,3.928285251
71,03/01/2011 22:00,3.015179349,3.303099576,3.585914031,3.596902472,3.609895547,3.611535857,3.67081818,3.681355131,3.672177387,3.679575002,3.702600625,3.93015172
72,03/01/2011 23:00,3.02364343,3.310893624,3.587329163,3.599334694,3.61083618,3.613171258,3.674144546,3.68274247,3.673267942,3.680125149,3.702167582,3.93196187
73,04/01/2011 00:00,3.035304093,3.323289935,3.592363043,3.601470544,3.614098173,3.615880332,3.677330475,3.683160093,3.673290645,3.680266775,3.702097933,3.932978876
74,04/01/2011 01:00,3.047716697,3.339272757,3.596877603,3.601261393,3.618337425,3.61733753,3.67845227,3.682755505,3.673637559,3.67881801,3.702103024,3.934376026
75,04/01/2011 02:00,3.062387269,3.35549034,3.601129642,3.599695511,3.620283088,3.618890371,3.67897142,3.681537781,3.672393285,3.676259237,3.699931778,3.9352577
76,04/01/2011 03:00,3.064532739,3.359728326,3.600523827,3.593560249,3.618841384,3.616802011,3.674523628,3.677197985,3.667815795,3.672939243,3.697344003,3.934719344
77,04/01/2011 04:00,3.063453597,3.356895694,3.595713887,3.587256253,3.613434618,3.612769209,3.671115058,3.675090029,3.663590851,3.671782952,3.696199789,3.935432331
78,04/01/2011 05:00,3.051377728,3.343007129,3.588976078,3.581062984,3.607695136,3.608010766,3.668515547,3.672144558,3.659210785,3.671470782,3.696208132,3.936976409
79,04/01/2011 06:00,3.042107983,3.329962986,3.585042202,3.579717823,3.603680358,3.60345121,3.667357905,3.671427963,3.655826429,3.672907059,3.697533101,3.939126448
80,04/01/2011 07:00,3.029339579,3.319483672,3.580487284,3.580692324,3.600375049,3.598600707,3.666118023,3.670899583,3.654748716,3.673932914,3.698718984,3.940420623
81,04/01/2011 08:00,3.035274107,3.321353421,3.583286466,3.587033386,3.602242744,3.598525228,3.669207808,3.67374213,3.656943117,3.676393837,3.701712635,3.942494766
82,04/01/2011 09:00,3.044740627,3.331408856,3.589465916,3.593943736,3.60878675,3.600682504,3.671960922,3.675864634,3.66006862,3.676716436,3.703226359,3.944611408
83,04/01/2011 10:00,3.065290551,3.349868556,3.599973196,3.603157257,3.616799654,3.60461284,3.675989581,3.680402413,3.663319883,3.679078614,3.704584356,3.946369249
84,04/01/2011 11:00,3.108265357,3.387017591,3.616308388,3.617814559,3.632790569,3.617490387,3.689990957,3.688873889,3.672127249,3.683045016,3.706840953,3.951041136
85,04/01/2011 12:00,3.11377521,3.401520821,3.628540778,3.61525779,3.643804077,3.620524607,3.682358305,3.681780921,3.669062597,3.678408975,3.706896656,3.954143196
86,04/01/2011 13:00,3.112255421,3.40151693,3.624525787,3.607388698,3.635887816,3.619182614,3.671679828,3.679254918,3.667377491,3.678005983,3.705018383,3.955995574
87,04/01/2011 14:00,3.110535257,3.395878037,3.614602054,3.599117952,3.631801036,3.621097305,3.673999352,3.678158869,3.668351272,3.677633161,3.704135227,3.958341441
88,04/01/2011 15:00,3.124856846,3.385601059,3.619485496,3.604761566,3.633392422,3.623062343,3.676478379,3.677726819,3.662714217,3.678463271,3.704700382,3.959093852
89,04/01/2011 16:00,3.125010631,3.38587121,3.617431003,3.607357024,3.635795553,3.624009066,3.677615737,3.679982189,3.662012404,3.678245415,3.703438603,3.959697276
90,04/01/2011 17:00,3.131341551,3.394541303,3.617532097,3.609038658,3.639575606,3.626539763,3.679811604,3.681172845,3.662573063,3.677824205,3.70293775,3.960282995
91,04/01/2011 18:00,3.138291966,3.401866446,3.619025368,3.607071438,3.642658702,3.627243339,3.678731004,3.678780706,3.661262856,3.675979833,3.702590443,3.96052631
92,04/01/2011 19:00,3.145263402,3.407998207,3.618124688,3.603608331,3.643430114,3.627575696,3.677898638,3.677525387,3.661505488,3.675291349,3.703084408,3.961408462
93,04/01/2011 20:00,3.157818806,3.414507092,3.617489621,3.601899002,3.645257766,3.631658673,3.680777953,3.677188821,3.663406493,3.675682748,3.704610624,3.963796953
94,04/01/2011 21:00,3.16783664,3.418936419,3.6197783,3.60126867,3.648170293,3.634655974,3.681847711,3.675971822,3.661755154,3.67450242,3.704540504,3.965243273
95,04/01/2011 22:00,3.173864347,3.42431251,3.622567636,3.601246368,3.649115114,3.638059988,3.684106716,3.678033897,3.66290611,3.676380184,3.705682664,3.967208186
96,04/01/2011 23:00,3.176783727,3.425963742,3.624420859,3.600787022,3.651187213,3.64176216,3.687186138,3.678897996,3.665548953,3.677830785,3.707918854,3.970111092
97,05/01/2011 00:00,3.176816681,3.426781174,3.626305222,3.600775294,3.651283375,3.641487406,3.687809361,3.677198711,3.665931687,3.677070637,3.708168018,3.969211836
98,05/01/2011 01:00,3.176384872,3.425939222,3.62715089,3.602891512,3.650523177,3.641393964,3.68761025,3.67684312,3.665817642,3.677405591,3.708109834,3.96466728
99,05/01/2011 02:00,3.177502019,3.419133319,3.625190907,3.606338232,3.650017244,3.640004861,3.688923817,3.675395534,3.666069786,3.677859567,3.709020028,3.959730902
100,05/01/2011 03:00,3.174060303,3.40465393,3.619150103,3.606413097,3.647445807,3.637083126,3.688248225,3.672344659,3.664053286,3.675087996,3.706308527,3.953270416
101,05/01/2011 04:00,3.16239301,3.384292426,3.612017023,3.602187049,3.643955395,3.635412403,3.68395186,3.669534293,3.660173203,3.668553735,3.702079707,3.944300281
102,05/01/2011 05:00,3.148263904,3.359219709,3.604366914,3.598807812,3.641345791,3.63520285,3.679898824,3.666634432,3.655519616,3.662992822,3.69808726,3.937825456
103,05/01/2011 06:00,3.13648544,3.339578052,3.597566022,3.597812579,3.64074543,3.636613715,3.680534254,3.665581089,3.654062748,3.661124995,3.694857322,3.937329349
104,05/01/2011 07:00,3.128515667,3.330775786,3.594404999,3.601235112,3.64217568,3.636906951,3.68252511,3.665730922,3.652766609,3.658142237,3.691774214,3.937694467
105,05/01/2011 08:00,3.130375537,3.33491489,3.595187241,3.608110385,3.646920286,3.639161339,3.686530239,3.670736018,3.653475305,3.661249031,3.692014822,3.939702565
106,05/01/2011 09:00,3.138404084,3.343397347,3.598150484,3.61359605,3.651884217,3.641896753,3.690375387,3.673642926,3.654370538,3.663828573,3.693805305,3.944360673
107,05/01/2011 10:00,3.151395716,3.359192039,3.603760412,3.618158362,3.655153429,3.643913391,3.690800199,3.674188728,3.654473067,3.661418902,3.692858361,3.945829916
108,05/01/2011 11:00,3.166410535,3.375390722,3.611457347,3.622187301,3.658555044,3.646971317,3.690683292,3.673857968,3.651836232,3.658319629,3.689734994,3.94306496
109,05/01/2011 12:00,3.176739599,3.38654492,3.617688259,3.621977889,3.658590467,3.647868081,3.688296943,3.669915894,3.650550405,3.655478856,3.687605674,3.940586837
110,05/01/2011 13:00,3.180851188,3.392730785,3.617806182,3.615711535,3.655486241,3.643935456,3.681715646,3.664383326,3.648864698,3.650306209,3.686023199,3.935899177
111,05/01/2011 14:00,3.184423205,3.392997415,3.61366554,3.609445809,3.650918605,3.642837992,3.680334516,3.661416321,3.648623668,3.648731931,3.684260652,3.933567421
112,05/01/2011 15:00,3.181272012,3.38840738,3.610820276,3.605433047,3.649018423,3.642113473,3.68062129,3.661361819,3.647728611,3.652070412,3.684541347,3.934725059
113,05/01/2011 16:00,3.178189946,3.386347031,3.607793434,3.603903236,3.645701275,3.641147406,3.679395274,3.663663162,3.648819967,3.657330569,3.687577951,3.937429726
114,05/01/2011 17:00,3.183408139,3.391433331,3.606712607,3.603751517,3.646648069,3.642668942,3.683579969,3.670559568,3.654272964,3.667168128,3.693877735,3.942133659
115,05/01/2011 18:00,3.178461594,3.384128754,3.604646265,3.601224484,3.646698508,3.641612282,3.684083408,3.671587778,3.657369907,3.670239112,3.697946891,3.947678761
116,05/01/2011 19:00,3.154943491,3.360829312,3.593610393,3.590711402,3.638881056,3.636183728,3.679367946,3.671343217,3.659793647,3.673341205,3.699693266,3.952967581
117,05/01/2011 20:00,3.083913813,3.311945385,3.568427486,3.569136106,3.620790176,3.625029022,3.661659721,3.663909084,3.653657961,3.674199426,3.700065173,3.959156301
118,05/01/2011 21:00,3.054114157,3.27561335,3.552209358,3.562913152,3.604320281,3.620089655,3.659961134,3.6670934,3.654971247,3.676972474,3.700554603,3.962598956
119,05/01/2011 22:00,3.029454602,3.239405952,3.542809924,3.564721481,3.600866398,3.619520153,3.659890436,3.665751822,3.654981335,3.680213173,3.70437699,3.964879443
120,05/01/2011 23:00,3.030586268,3.232413834,3.546256652,3.579196909,3.60169903,3.619446228,3.661241731,3.670290902,3.656988825,3.687683116,3.710008771,3.970642507
121,06/01/2011 00:00,3.037892231,3.251146279,3.546831613,3.585114016,3.607207397,3.622630758,3.66455482,3.674186399,3.664892823,3.686348628,3.710627746,3.970555743
122,06/01/2011 01:00,3.069862483,3.282774513,3.562256451,3.5984538,3.617159274,3.629734872,3.66576719,3.674757545,3.669619527,3.685329219,3.705274521,3.971998945
123,06/01/2011 02:00,3.089242672,3.309249742,3.575033118,3.600869164,3.625275752,3.636418412,3.663906924,3.677195051,3.674233338,3.687144115,3.701110174,3.975713657
124,06/01/2011 03:00,3.117942037,3.332010612,3.583014042,3.60113852,3.629320419,3.639993548,3.661991303,3.677988801,3.677805656,3.683931191,3.696079785,3.977673104
125,06/01/2011 04:00,3.123575561,3.326337997,3.579492381,3.588471945,3.626693104,3.636585864,3.655771608,3.669908514,3.674855274,3.675655175,3.687858561,3.976901553
126,06/01/2011 05:00,3.13207007,3.319827445,3.576301305,3.587401428,3.620279816,3.634948001,3.658452881,3.668046057,3.674628112,3.676223652,3.681153158,3.975533727
127,06/01/2011 06:00,3.128107595,3.309821605,3.572652162,3.58806647,3.621695964,3.638978687,3.662734568,3.667609561,3.674445982,3.674523324,3.68157897,3.974256343
128,06/01/2011 07:00,3.118997001,3.296320788,3.568394914,3.590806423,3.618059961,3.636999054,3.661617162,3.668435159,3.671038772,3.671704753,3.680238814,3.97330906
129,06/01/2011 08:00,3.099451537,3.278656717,3.557024679,3.5855297,3.614112226,3.634512444,3.661543883,3.669853862,3.6718909,3.669685765,3.681742826,3.974070096
130,06/01/2011 09:00,3.120841847,3.287397343,3.563057469,3.600994706,3.621067303,3.642355584,3.680790455,3.680420863,3.679964362,3.676844858,3.684816138,3.977105092
131,06/01/2011 10:00,3.124593468,3.285666376,3.569530753,3.603872767,3.63222077,3.640732748,3.681195906,3.674031181,3.676259876,3.67258249,3.68413222,3.978076523
132,06/01/2011 11:00,3.09642793,3.265889273,3.557541937,3.583708177,3.619411616,3.626294155,3.662167918,3.665179374,3.667277839,3.666932233,3.679585271,3.97691315
133,06/01/2011 12:00,3.054079499,3.239898882,3.536739296,3.570331013,3.602244428,3.61448553,3.651913479,3.660165296,3.662049952,3.664756981,3.674804901,3.97121266
134,06/01/2011 13:00,3.044088495,3.224067626,3.531604953,3.571853965,3.594334328,3.61104274,3.655078092,3.661789393,3.660245319,3.669113214,3.675552993,3.968782897
135,06/01/2011 14:00,3.045176855,3.224384099,3.535870788,3.582710903,3.597727809,3.61155926,3.664603132,3.66818346,3.661372219,3.674126688,3.679565805,3.968537005
136,06/01/2011 15:00,3.036698696,3.22863277,3.53817601,3.588781614,3.602023179,3.611750332,3.66543642,3.670572755,3.6637485,3.676581971,3.684753419,3.971352897
137,06/01/2011 16:00,3.034130129,3.231731107,3.536528122,3.589447755,3.602779816,3.610457521,3.666575658,3.673822642,3.667797772,3.679045848,3.689992201,3.975067027
138,06/01/2011 17:00,3.036086652,3.232781138,3.5361605,3.588113326,3.603614084,3.611155397,3.669019171,3.673941112,3.672150353,3.680506118,3.694812401,3.977981467
